test	OR	ci_lo	ci_hi	p	fdr	note
onevsrest__dispersed_ohnolog	1.7869215526285114	1.3543300124361668	2.3576887508418767	4.3364713792778214e-05	0.00017345885517111286	n=523, marker_rate=0.287 (150/523 vs 115/626)
onevsrest__clustered_cis_ohnolog	0.6123142442914099	0.3575330936514743	1.0486546292345276	0.08936658664840273	0.11915544886453698	n=106, marker_rate=0.160 (17/106 vs 248/1043)
onevsrest__clustered_SSD_tandem	0.6399274282381909	0.33919040052199445	1.2073074968552682	0.19648961030639528	0.19648961030639528	n=73, marker_rate=0.164 (12/73 vs 253/1076)
onevsrest__dispersed_SSD	0.6960491496309135	0.5208119795589841	0.9302482233841319	0.014619906516711282	0.029239813033422563	n=447, marker_rate=0.192 (86/447 vs 179/702)
pair__within_clustered__cis_ohnolog_vs_SSD_tandem	0.9709737827715356	0.4329745505565883	2.1774722916571183	1.0		17/106 vs 12/73
pair__within_dispersed__ohnolog_vs_SSD	1.688072822495168	1.2480209945959115	2.283286792759006	0.0007144819306170397		150/523 vs 86/447
pair__within_ohnolog__clustered_vs_dispersed	0.4749812734082397	0.27340705260031495	0.8251696799435563	0.007674882702273581		17/106 vs 150/523
pair__within_SSD__clustered_vs_dispersed	0.8257720167746855	0.4258914599134546	1.601110817828327	0.6315818696114393		12/73 vs 86/447
marginal__ohnolog_vs_SSD	1.5565420973584239	1.173854691632803	2.06398911050811	0.0024458092587248854		167/629 vs 98/520
marginal__clustered_vs_dispersed	0.6012994350282486	0.3935904099287222	0.9186225107231863	0.020137732702976287		29/179 vs 236/970
logit__ohnolog	1.6880728224951678	1.2480279209363823	2.283274120909719	0.000679306175634673		adjusted OR (provenance x arrangement factorial)
logit__clustered	0.8257720167746854	0.4258966417115735	1.6010913374375193	0.5709342457753104		adjusted OR (provenance x arrangement factorial)
logit__ohnolog:clustered	0.5751966205677806	0.24285863016472395	1.36231993109814	0.20870371279873545		adjusted OR (provenance x arrangement factorial)
