gene_a	gene_b	family	n_conditions	buffering_index_B	marginal_r	partial_r	pair_category	proximity
ARID3A	ARID3B	ARID/BRIGHT	62	0.816143981505339	-0.19047517944585093	-0.19450535555264534	dispersed_ohnolog	DISTAL
ARID3A	ARID5A	ARID/BRIGHT	122	1.0593998305739785	0.06153789937055903	0.015079542464261917	dispersed_ohnolog	DISTAL
ARID3A	ARID5B	ARID/BRIGHT	133	1.274880565417009	0.31557192692710767	0.3100349643728273	dispersed_ohnolog	DISTAL
ARID3A	KDM5B	ARID/BRIGHT	66	1.388722365955627	0.3889677742719781	0.36400084438239744	mixed	DISTAL
ARID3B	ARID5A	ARID/BRIGHT	102	1.2391000834693822	0.24778410217598723	0.2676247133333063	dispersed_ohnolog	DISTAL
ARID3B	ARID5B	ARID/BRIGHT	105	1.1626403219244916	0.19070907046387142	0.21626023569282707	dispersed_ohnolog	DISTAL
ARID3B	KDM5B	ARID/BRIGHT	32	1.0050238417977013	0.005100199721681704	0.003539933562295386	mixed	DISTAL
ARID5A	ARID5B	ARID/BRIGHT	155	1.1056347905282244	0.10900503838695817	-0.09235346367654357	dispersed_ohnolog	DISTAL
ARID5A	KDM5B	ARID/BRIGHT	105	0.9979293656643531	-0.0022920058068858578	-0.2207704413216665	mixed	DISTAL
ARID5B	KDM5B	ARID/BRIGHT	108	1.158100110505054	0.2064593383502074	-0.014073946249737873	mixed	DISTAL
AHCTF1	AHDC1	AT hook	51	0.9770737602148062	-0.03830729443398526	-0.037952100381149774	dispersed_SSD	DISTAL
AHCTF1	AKNA	AT hook	17	0.9157443036147931	-0.08977468247561878	0.2728898265526391	dispersed_SSD	DISTAL
AHCTF1	DNTTIP1	AT hook	10	1.913268522737428	0.9167859249281656	0.9121552307544649	dispersed_SSD	DISTAL
AHCTF1	DOT1L	AT hook	33	0.5209185545548749	-0.4819853083139944	-0.48639577131188716	dispersed_SSD	DISTAL
AHCTF1	HMGA1	AT hook	93	0.9118163269194387	-0.18021881759305766	-0.16654768124861902	dispersed_SSD	DISTAL
AHCTF1	PHF20	AT hook	9	1.8982221380936548	0.9074581506513496	0.8951320618673688	mixed	DISTAL
AHCTF1	PHF21A	AT hook	18	1.1468722976496037	0.18115799295903068	0.24121710748524972	dispersed_SSD	DISTAL
AHCTF1	PRR12	AT hook	20	1.8127520287093302	0.8139320241751722	0.8158735499585721	dispersed_SSD	DISTAL
AHCTF1	SCML4	AT hook	92	1.0127868094322832	0.05796750702725681	0.05752246135181269	mixed	DISTAL
AHCTF1	SETBP1	AT hook	93	1.0015879518546418	0.004483150900464158	0.0009764073525047452	dispersed_SSD	DISTAL
AHDC1	AKNA	AT hook	54	1.1181373626161089	0.16717431523779194	0.2381007761602211	dispersed_SSD	DISTAL
AHDC1	DNTTIP1	AT hook	49	1.0156195501270742	0.03217674371722096	0.023147731285472848	dispersed_SSD	DISTAL
AHDC1	DOT1L	AT hook	70	1.1242516987537958	0.14343453026766861	0.13796499615346555	dispersed_SSD	DISTAL
AHDC1	HMGA1	AT hook	126	0.846543859328504	-0.16165041529840923	-0.15058412011785066	dispersed_SSD	DISTAL
AHDC1	HMGA2	AT hook	46	0.9963764780942155	-0.01693062493472612	-0.006924773721840017	dispersed_SSD	DISTAL
AHDC1	PHF20	AT hook	48	1.0116635895660626	0.028124207687203105	0.03663441861970984	mixed	DISTAL
AHDC1	PHF21A	AT hook	56	1.216255436449547	0.24062450891076578	0.25978275192619	dispersed_SSD	DISTAL
AHDC1	PRR12	AT hook	59	1.0643892645697133	0.08562057245016247	0.08703932206571803	dispersed_SSD	DISTAL
AHDC1	SCML4	AT hook	119	1.000089719116073	0.00015154838839758741	-0.03663452009946775	mixed	DISTAL
AHDC1	SETBP1	AT hook	132	0.976161624944944	-0.03063314163192619	-0.02353690109561946	dispersed_SSD	DISTAL
AKNA	DNTTIP1	AT hook	15	1.0677945561502837	0.07913313191543918	-0.5177952511861839	dispersed_SSD	DISTAL
AKNA	DOT1L	AT hook	33	0.9837872527702846	-0.016380934381486658	-0.11119258247547044	dispersed_SSD	DISTAL
AKNA	HMGA1	AT hook	88	0.8637583827530864	-0.2337271856229953	-0.03572753883569363	dispersed_SSD	DISTAL
AKNA	HMGA2	AT hook	12	0.978242825395435	-0.04540191478437948	0.49663486178054683	dispersed_SSD	DISTAL
AKNA	PHF20	AT hook	12	0.7891697217881222	-0.27184960702782107	-0.7294494431208501	mixed	DISTAL
AKNA	PHF21A	AT hook	22	1.3605850968968891	0.3828165757170102	-0.4493835790211137	dispersed_SSD	DISTAL
AKNA	PRR12	AT hook	21	0.723710786966213	-0.2909930314871373	-0.8427744255703447	dispersed_SSD	DISTAL
