test	OR	ci_lo	ci_hi	p	rate1	rate2	note	modality	n
onevsrest__dispersed_ohnolog	1.5436100131752306	0.8817278609932413	2.702343861620473	0.15374100942091212	0.05534351145038168	0.03656597774244833	29/524 vs 23/629	SLE_lupus	524
onevsrest__clustered_cis_ohnolog	1.3056521739130436	0.5441497928095118	3.1328278017752056	0.46817204576609456	0.05660377358490566	0.04393505253104107	6/106 vs 46/1047	SLE_lupus	106
onevsrest__clustered_SSD_tandem	0.9017492711370262	0.27416547978396943	2.9659158718190435	1.0	0.0410958904109589	0.04537037037037037	3/73 vs 49/1080	SLE_lupus	73
onevsrest__dispersed_SSD	0.5619266055045872	0.3009082275564917	1.0493615031334684	0.08038664264501677	0.03111111111111111	0.05405405405405406	14/450 vs 38/703	SLE_lupus	450
onevsrest__dispersed_ohnolog	1.5084427767354596	0.8869712840923388	2.5653588244560366	0.13777777431415678	0.061068702290076333	0.04133545310015898	32/524 vs 26/629	rheumatoid_arthritis	524
onevsrest__clustered_cis_ohnolog	1.3808674985145573	0.6102673907121409	3.1245239012832546	0.48005858504258014	0.0660377358490566	0.04871060171919771	7/106 vs 51/1047	rheumatoid_arthritis	106
onevsrest__clustered_SSD_tandem	1.4248057713651499	0.5514552565938379	3.6812986399921903	0.40782290109441427	0.0684931506849315	0.049074074074074076	5/73 vs 53/1080	rheumatoid_arthritis	73
onevsrest__dispersed_SSD	0.4809216013344454	0.26040312891057976	0.8881828248289165	0.01846863216760481	0.03111111111111111	0.06258890469416785	14/450 vs 44/703	rheumatoid_arthritis	450
onevsrest__dispersed_ohnolog	1.6560236998025017	1.1827426845217441	2.318690726391171	0.003569547866897949	0.1717557251908397	0.11128775834658187	90/524 vs 70/629	allergy	524
onevsrest__clustered_cis_ohnolog	1.7251552795031055	1.0438413252988556	2.8511620169333227	0.03850741763105242	0.20754716981132076	0.1318051575931232	22/106 vs 138/1047	allergy	106
onevsrest__clustered_SSD_tandem	0.642602495543672	0.28941686369021613	1.4267930417522334	0.3801580665303474	0.0958904109589041	0.14166666666666666	7/73 vs 153/1080	allergy	73
onevsrest__dispersed_SSD	0.49195619568120647	0.3375205094755015	0.7170553838201417	0.0001619073424955924	0.09111111111111111	0.16927453769559034	41/450 vs 119/703	allergy	450
onevsrest__dispersed_ohnolog	1.6041666666666667	1.0092277692368148	2.5498215297726405	0.04597008020392812	0.08396946564885496	0.05405405405405406	44/524 vs 34/629	asthma	524
onevsrest__clustered_cis_ohnolog	1.8974854932301741	0.9900994953609611	3.6364539259828006	0.0647489711311259	0.11320754716981132	0.06303724928366762	12/106 vs 66/1047	asthma	106
onevsrest__clustered_SSD_tandem	0.18091630591630592	0.024801566249416464	1.3197033371701876	0.05470771746160477	0.0136986301369863	0.0712962962962963	1/73 vs 77/1080	asthma	73
onevsrest__dispersed_SSD	0.5547785547785548	0.33147847203292646	0.9285044755835892	0.02273649095434722	0.04666666666666667	0.08108108108108109	21/450 vs 57/703	asthma	450
onevsrest__dispersed_ohnolog	1.9344884488448846	0.9301736890934588	4.023168578721525	0.09851427640728767	0.03625954198473282	0.019077901430842606	19/524 vs 12/629	type_1_diabetes	524
onevsrest__clustered_cis_ohnolog	1.05998613037448	0.3167785688251881	3.5468642994163475	0.7587595905962257	0.02830188679245283	0.026743075453677174	3/106 vs 28/1047	type_1_diabetes	106
onevsrest__clustered_SSD_tandem	1.0208839242350656	0.23876631467417536	4.364954027052756	1.0	0.0273972602739726	0.026851851851851852	2/73 vs 29/1080	type_1_diabetes	73
onevsrest__dispersed_SSD	0.4470466516177577	0.1909962004713855	1.0463596041670469	0.06287061648286889	0.015555555555555555	0.034139402560455195	7/450 vs 24/703	type_1_diabetes	450
onevsrest__dispersed_ohnolog	1.6721838645606735	1.258489973187237	2.2218682202254247	0.00039323397340718384	0.2595419847328244	0.17329093799682035	136/524 vs 109/629	any	524
onevsrest__clustered_cis_ohnolog	1.6089096573208723	1.0313968767269297	2.509790696317685	0.04535055599877262	0.29245283018867924	0.2043935052531041	31/106 vs 214/1047	any	106
onevsrest__clustered_SSD_tandem	0.7151199605994512	0.37869660682120376	1.3504123058837156	0.37492963513941896	0.1643835616438356	0.21574074074074073	12/73 vs 233/1080	any	73
onevsrest__dispersed_SSD	0.5031424581005587	0.3684924919544795	0.6869945485205294	1.2279529504733024e-05	0.14666666666666667	0.2546230440967283	66/450 vs 179/703	any	450
buffered_clustered_vs_unbuffered_dispersed	1.2083576004659289	0.8294355509256234	1.7603876382852428	0.3214836509094138	0.24022346368715083	0.20739219712525667	43/179 vs 202/974	any	1153
ohnolog_vs_SSD	2.057789223016005	1.5265248982465514	2.7739452472899617	1.637613883464117e-06	0.2650793650793651	0.1491395793499044	167/630 vs 78/523	any	1153
alpha_vs_beta	1.0105263157894737	0.6236916195108952	1.6372890110401885	1.0	0.27988338192419826	0.2777777777777778	96/343 vs 30/108	any	451
preR1_ancient_vs_younger	1.193983515882906	0.8844046307788479	1.611928054859526	0.25942387898598546	0.22281879194630871	0.19362745098039216	166/745 vs 79/408	any	1153
