test	OR	ci_lo	ci_hi	p	rate1	rate2	note	modality	n
onevsrest__dispersed_ohnolog	3.532730960722847	1.7578604581141555	7.099646609173176	0.0002066281108093582	0.05916030534351145	0.017488076311605722	31/524 vs 11/629	IEI_green	524
onevsrest__clustered_cis_ohnolog	1.0412796697626419	0.3643024283713937	2.976272641135479	0.7902863683309297	0.03773584905660377	0.03629417382999045	4/106 vs 38/1047	IEI_green	106
onevsrest__clustered_SSD_tandem	0.35196476964769646	0.0477244750491283	2.5957163268036543	0.513156914424586	0.0136986301369863	0.03796296296296296	1/73 vs 41/1080	IEI_green	73
onevsrest__dispersed_SSD	0.25037537537537535	0.10462524879144514	0.5991653957193354	0.0005743507722189246	0.013333333333333334	0.051209103840682786	6/450 vs 36/703	IEI_green	450
onevsrest__dispersed_ohnolog	4.550464807436919	1.831064924837652	11.30857223184363	0.0003938404033321598	0.04198473282442748	0.009538950715421303	22/524 vs 6/629	IEI_green_monoallelic	524
onevsrest__clustered_cis_ohnolog	1.6715686274509804	0.5688462764607214	4.911945092904706	0.3171422465211535	0.03773584905660377	0.022922636103151862	4/106 vs 24/1047	IEI_green_monoallelic	106
onevsrest__clustered_SSD_tandem	0.2512232963360783	0.01518477701321851	4.156343196019564	0.25206965858408925	0.0	0.025925925925925925	0/73 vs 28/1080	IEI_green_monoallelic	73
onevsrest__dispersed_SSD	0.11624313186813187	0.027453451900510125	0.49219550807236767	0.00024572792803120126	0.0044444444444444444	0.03698435277382646	2/450 vs 26/703	IEI_green_monoallelic	450
buffered_clustered_vs_unbuffered_dispersed	0.7277104690897794	0.2820552953567538	1.8775131527066597	0.6651780208512411	0.027932960893854747	0.037987679671457907	5/179 vs 37/974	IEI_green	1153
ohnolog_vs_SSD	4.336134453781512	1.9096993375906732	9.845561356790467	0.0001041284097824218	0.05555555555555555	0.01338432122370937	35/630 vs 7/523	IEI_green	1153
alpha_vs_beta	1.108695652173913	0.43559177470135096	2.8219220851727576	1.0	0.061224489795918366	0.05555555555555555	21/343 vs 6/108	IEI_green	451
preR1_ancient_vs_younger	3.4019746121297603	1.4211369516027679	8.14378322126016	0.0028084661641328253	0.04832214765100671	0.014705882352941176	36/745 vs 6/408	IEI_green	1153
