cluster_id	dup_class4	n_members	members	n_active_celltypes	frac_all_on	frac_single_on	mean_top_share
clust0019	clustered_SSD_tandem	6	FIZ1|ZNF579|ZNF580|ZNF581|ZNF784|ZNF865	13	0.0	0.15384615384615385	0.42163104128980067
clust0060	clustered_SSD_tandem	4	SP100|SP110|SP140|SP140L	15	0.6666666666666666	0.06666666666666667	0.4769635671489313
clust0061	clustered_SSD_tandem	2	ZNF174|ZSCAN32	1	0.0	1.0	0.5236636976720118
clust0016	clustered_SSD_tandem	3	AKAP8|AKAP8L|WIZ	14	0.42857142857142855	0.07142857142857142	0.5536366839432559
clust0026	clustered_SSD_tandem	2	ZNF107|ZNF138	12	0.8333333333333334	0.16666666666666666	0.5605192608166633
clust0010	clustered_SSD_tandem	2	ZNF48|ZNF771	2	0.0	1.0	0.6702401903550667
clust0004	clustered_SSD_tandem	2	ZBTB26|ZBTB6	1	0.0	1.0	0.6743383838812187
clust0062	clustered_SSD_tandem	4	ZNF24|ZNF396|ZNF397|ZSCAN30	15	0.0	0.3333333333333333	0.679688732115198
clust0014	clustered_SSD_tandem	2	ZNF236|ZNF516	9	0.5555555555555556	0.4444444444444444	0.711524501576769
clust0003	clustered_SSD_tandem	2	ZBTB1|ZBTB25	14	0.9285714285714286	0.07142857142857142	0.713923744574826
clust0006	clustered_SSD_tandem	2	ZNF672|ZNF692	7	0.14285714285714285	0.8571428571428571	0.7585000318910827
clust0005	clustered_SSD_tandem	2	ZBTB34|ZBTB43	13	0.0	1.0	0.8357985016027527
clust0065	clustered_SSD_tandem	2	ZNF165|ZSCAN16	3	0.0	1.0	0.8532556993036038
clust0018	clustered_SSD_tandem	2	ZNF428|ZNF576	14	0.35714285714285715	0.6428571428571429	0.8666327420729176
clust0027	clustered_SSD_tandem	2	REPIN1|ZNF775	13	0.3076923076923077	0.6923076923076923	0.8734018392777059
clust0064	clustered_SSD_tandem	2	ZSCAN1|ZSCAN18	7	0.0	1.0	0.9848094992247607
clust0073	clustered_SSD_tandem	2	MESP1|MESP2	1	0.0	1.0	0.9890774442441163
clust0037	clustered_SSD_tandem	2	GTF2I|GTF2IRD1	15	0.0	1.0	0.9982442022952606
clust0074	clustered_SSD_tandem	2	OLIG1|OLIG2	1	0.0	1.0	0.9987277785288183
clust0067	clustered_cis_ohnolog	3	STAT3|STAT5A|STAT5B	15	0.7333333333333333	0.06666666666666667	0.6017240274450337
clust0023	clustered_cis_ohnolog	4	ZNF35|ZNF501|ZNF502|ZNF660	2	0.0	1.0	0.638689190097224
clust0078	clustered_cis_ohnolog	2	CEBPA|CEBPG	11	0.5454545454545454	0.45454545454545453	0.7130439800791623
clust0032	clustered_cis_ohnolog	2	ETS1|FLI1	15	1.0	0.0	0.7809618148008203
clust0021	clustered_cis_ohnolog	4	SALL4|TSHZ2|ZFP64|ZNF217	14	0.0	0.7142857142857143	0.7875726447136472
clust0068	clustered_cis_ohnolog	2	STAT1|STAT4	14	0.5714285714285714	0.42857142857142855	0.8083316067291765
clust0057	clustered_cis_ohnolog	2	NR1D1|THRA	9	0.0	1.0	0.834557707325136
clust0028	clustered_cis_ohnolog	3	GLI4|ZFP41|ZNF696	7	0.0	1.0	0.8636942289338949
clust0077	clustered_cis_ohnolog	3	BATF|FOS|JDP2	15	0.2	0.3333333333333333	0.8881088805298363
clust0012	clustered_cis_ohnolog	2	ZFPM1|ZNF469	14	0.14285714285714285	0.8571428571428571	0.9218644710914249
clust0058	clustered_cis_ohnolog	3	NR1D2|RARB|THRB	13	0.0	0.9230769230769231	0.924180083940375
clust0017	clustered_cis_ohnolog	3	TSHZ3|ZNF507|ZNF536	9	0.0	1.0	0.939300670188094
clust0008	clustered_cis_ohnolog	2	KLF12|KLF5	11	0.0	1.0	0.9605180385193507
clust0033	clustered_cis_ohnolog	2	ERG|ETS2	7	0.14285714285714285	0.8571428571428571	0.9629181701036885
clust0030	clustered_cis_ohnolog	2	ETV3|ETV3L	7	0.0	1.0	0.9989834584175808
clust0007	clustered_cis_ohnolog	2	SP1|SP7	13	0.0	1.0	0.9995988324615607
clust0013	clustered_cis_ohnolog	2	SP2|SP6	7	0.0	1.0	0.9998559521040978
clust0002	clustered_cis_ohnolog	2	ZBTB8A|ZBTB8B	1	0.0	1.0	1.0
clust0025	clustered_cis_ohnolog	2	SP4|SP8	9	0.0	1.0	1.0
clust0031	clustered_cis_ohnolog	2	EHF|ELF5	1	0.0	1.0	1.0
clust0039	clustered_cis_ohnolog	2	LMX1A|PBX1	3	0.0	1.0	1.0
