cluster_id	dup_class4	cell_type	n_members	n_on	frac_on	all_on	single_on	top_share	one_dominant	top_gene	members
clust0002	clustered_cis_ohnolog	progenitor	2	1	0.5	False	True	1.0	True	ZBTB8A	ZBTB8A|ZBTB8B
clust0003	clustered_SSD_tandem	progenitor	2	2	1.0	True	False	0.7213183916130373	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	monocyte	2	1	0.5	False	True	0.7927638712422881	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	cDC1	2	2	1.0	True	False	0.7566184729603095	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	cDC2	2	2	1.0	True	False	0.8120138707079366	True	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	DC_other	2	2	1.0	True	False	0.8160754825664129	True	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	pDC	2	2	1.0	True	False	0.7591797936602128	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	B	2	2	1.0	True	False	0.6787182425872885	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	plasma	2	2	1.0	True	False	0.6609313617042717	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	CD4 T	2	2	1.0	True	False	0.5219468872971904	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	CD8 T	2	2	1.0	True	False	0.6462757667533295	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	other T	2	2	1.0	True	False	0.7153209596361501	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	NK	2	2	1.0	True	False	0.787494981711729	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	ILC	2	2	1.0	True	False	0.7687551689321999	False	ZBTB1	ZBTB1|ZBTB25
clust0003	clustered_SSD_tandem	erythrocyte	2	2	1.0	True	False	0.5575191726752068	False	ZBTB1	ZBTB1|ZBTB25
clust0004	clustered_SSD_tandem	progenitor	2	1	0.5	False	True	0.6743383838812187	False	ZBTB26	ZBTB26|ZBTB6
clust0005	clustered_SSD_tandem	progenitor	2	1	0.5	False	True	0.7577852725609583	False	ZBTB43	ZBTB34|ZBTB43
clust0005	clustered_SSD_tandem	monocyte	2	1	0.5	False	True	0.8137076531516657	True	ZBTB43	ZBTB34|ZBTB43
clust0005	clustered_SSD_tandem	cDC1	2	1	0.5	False	True	0.8113914262754979	True	ZBTB43	ZBTB34|ZBTB43
clust0005	clustered_SSD_tandem	cDC2	2	1	0.5	False	True	0.8465858600917207	True	ZBTB43	ZBTB34|ZBTB43
clust0005	clustered_SSD_tandem	DC_other	2	1	0.5	False	True	0.8046507940208352	True	ZBTB43	ZBTB34|ZBTB43
clust0005	clustered_SSD_tandem	pDC	2	1	0.5	False	True	0.7618002550808299	False	ZBTB43	ZBTB34|ZBTB43
