cell_type	dispersed_ohnolog	dispersed_ohnolog_rate	clustered_cis_ohnolog	clustered_cis_ohnolog_rate	clustered_SSD_tandem	clustered_SSD_tandem_rate	dispersed_SSD	dispersed_SSD_rate
B	18	0.03441682600382409	0	0.0	4	0.0547945205479452	7	0.015659955257270694
CD4 T	7	0.01338432122370937	2	0.018867924528301886	0	0.0	1	0.0022371364653243847
CD8 T	5	0.009560229445506692	2	0.018867924528301886	0	0.0	0	0.0
DC_other	26	0.0497131931166348	3	0.02830188679245283	3	0.0410958904109589	17	0.03803131991051454
ILC	7	0.01338432122370937	1	0.009433962264150943	0	0.0	2	0.0044742729306487695
NK	13	0.0248565965583174	2	0.018867924528301886	0	0.0	11	0.024608501118568233
cDC1	24	0.045889101338432124	2	0.018867924528301886	3	0.0410958904109589	14	0.03131991051454139
cDC2	30	0.05736137667304015	5	0.04716981132075472	2	0.0273972602739726	13	0.029082774049217
erythrocyte	3	0.0057361376673040155	0	0.0	0	0.0	0	0.0
monocyte	61	0.11663479923518165	8	0.07547169811320754	2	0.0273972602739726	26	0.058165548098434
other T	7	0.01338432122370937	1	0.009433962264150943	0	0.0	1	0.0022371364653243847
pDC	33	0.06309751434034416	0	0.0	4	0.0547945205479452	18	0.040268456375838924
plasma	20	0.03824091778202677	0	0.0	1	0.0136986301369863	8	0.017897091722595078
platelet	6	0.011472275334608031	0	0.0	0	0.0	5	0.011185682326621925
progenitor	30	0.05736137667304015	5	0.04716981132075472	5	0.0684931506849315	24	0.053691275167785234
