cell_type	dispersed_ohnolog	dispersed_ohnolog_rate	clustered_cis_ohnolog	clustered_cis_ohnolog_rate	clustered_SSD_tandem	clustered_SSD_tandem_rate	dispersed_SSD	dispersed_SSD_rate
B_cell	20	0.03824091778202677	3	0.02830188679245283	0	0.0	16	0.035794183445190156
CD14_Mono	116	0.22179732313575526	17	0.16037735849056603	9	0.1232876712328767	59	0.1319910514541387
CD16_Mono	83	0.1586998087954111	10	0.09433962264150944	7	0.0958904109589041	28	0.06263982102908278
CD4_Memory_T_cell	25	0.04780114722753346	4	0.03773584905660377	4	0.0547945205479452	13	0.029082774049217
CD4_Naive_T_cell	32	0.06118546845124283	7	0.0660377358490566	2	0.0273972602739726	12	0.026845637583892617
CD4_T_cell	27	0.05162523900573614	6	0.05660377358490566	3	0.0410958904109589	12	0.026845637583892617
CD8_Memory_T_cell	19	0.036328871892925434	4	0.03773584905660377	3	0.0410958904109589	16	0.035794183445190156
CD8_Naive_T_cell	35	0.06692160611854685	5	0.04716981132075472	2	0.0273972602739726	13	0.029082774049217
CD8_T_cell	23	0.04397705544933078	3	0.02830188679245283	3	0.0410958904109589	14	0.03131991051454139
Granulocyte	25	0.04780114722753346	3	0.02830188679245283	3	0.0410958904109589	13	0.029082774049217
HSPC	61	0.11663479923518165	11	0.10377358490566038	3	0.0410958904109589	24	0.053691275167785234
ILC	9	0.017208413001912046	1	0.009433962264150943	1	0.0136986301369863	1	0.0022371364653243847
Intermediate_B_cell	13	0.0248565965583174	2	0.018867924528301886	1	0.0136986301369863	15	0.03355704697986577
MAIT	30	0.05736137667304015	5	0.04716981132075472	5	0.0684931506849315	19	0.042505592841163314
Mono	111	0.21223709369024857	17	0.16037735849056603	9	0.1232876712328767	56	0.12527964205816555
NK	50	0.09560229445506692	5	0.04716981132075472	4	0.0547945205479452	25	0.05592841163310962
NKT	18	0.03441682600382409	4	0.03773584905660377	1	0.0136986301369863	11	0.024608501118568233
NK_CD56hi	69	0.13193116634799235	8	0.07547169811320754	5	0.0684931506849315	33	0.0738255033557047
NK_CD56low	39	0.0745697896749522	4	0.03773584905660377	2	0.0273972602739726	16	0.035794183445190156
Naive_B_cell	27	0.05162523900573614	5	0.04716981132075472	0	0.0	18	0.040268456375838924
Plasmablast	1	0.0019120458891013384	1	0.009433962264150943	0	0.0	0	0.0
Treg	18	0.03441682600382409	3	0.02830188679245283	2	0.0273972602739726	11	0.024608501118568233
cDC	90	0.17208413001912046	15	0.14150943396226415	6	0.0821917808219178	52	0.116331096196868
pDC	33	0.06309751434034416	2	0.018867924528301886	2	0.0273972602739726	11	0.024608501118568233
