gene	dup_class4	provenance	arrangement	TF_subfamily	cluster_id	breadth_CD14_Mono	breadth_CD16_Mono	breadth_Mono	breadth_cDC	breadth_pDC	breadth_Granulocyte	breadth_B_cell	breadth_Naive_B_cell	breadth_Intermediate_B_cell	breadth_Plasmablast	breadth_CD4_T_cell	breadth_CD4_Naive_T_cell	breadth_CD4_Memory_T_cell	breadth_Treg	breadth_CD8_T_cell	breadth_CD8_Naive_T_cell	breadth_CD8_Memory_T_cell	breadth_MAIT	breadth_NKT	breadth_NK	breadth_NK_CD56hi	breadth_NK_CD56low	breadth_ILC	breadth_HSPC	total_events	n_response_celltypes	is_responder
AKAP8	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
AKAP8L	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
FIZ1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
REPIN1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0027	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	True
WIZ	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZBTB1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZBTB25	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZBTB26	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZBTB34	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZBTB43	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0005	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	True
ZBTB6	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF107	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0026	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	True
ZNF138	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF165	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF174	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF236	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF24	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF396	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF397	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF428	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	True
ZNF48	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF497	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF516	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0014	2	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	8	5	True
ZNF576	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF579	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF580	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF581	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF625	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF646	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0011	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	8	5	True
ZNF668	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF672	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF692	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF771	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF775	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF784	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF837	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF865	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN12	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN16	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN18	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	2	True
ZSCAN23	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN30	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0062	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	True
ZSCAN31	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN32	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZSCAN5A	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0063	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	True
