gene	n_events	n_celltypes	n_cytokines	n_up	n_down	dup_class4	TF_subfamily
ETV7	200	21	17	169	31	dispersed_ohnolog	Ets
STAT1	128	22	13	105	23	clustered_cis_ohnolog	STAT
STAT2	99	19	10	80	19	dispersed_ohnolog	STAT
IRF7	91	21	10	58	33	dispersed_ohnolog	IRF
TRAFD1	83	21	9	69	14	dispersed_SSD	C2H2 ZF
IRF4	79	18	14	69	10	dispersed_ohnolog	IRF
NFIA	76	16	14	1	75	dispersed_ohnolog	SMAD
BHLHE40	62	20	12	55	7	dispersed_SSD	bHLH
BATF3	56	15	14	51	5	dispersed_SSD	bZIP
NR4A3	53	11	21	44	9	dispersed_ohnolog	Nuclear receptor
ARNT2	52	5	18	45	7	dispersed_ohnolog	bHLH
EGR1	46	6	21	33	13	dispersed_ohnolog	C2H2 ZF
HDX	45	13	7	42	3	dispersed_SSD	Homeodomain
SP140	41	15	8	37	4	clustered_SSD_tandem	SAND
HESX1	41	8	10	29	12	dispersed_SSD	Homeodomain
TCF7	39	17	10	11	28	dispersed_ohnolog	HMG/Sox
PPARG	39	4	17	26	13	dispersed_ohnolog	Nuclear receptor
ZNF618	38	15	12	24	14	dispersed_SSD	C2H2 ZF
TBX21	37	9	12	34	3	dispersed_ohnolog	T-box
RUNX2	36	11	14	11	25	dispersed_ohnolog	Runt
SOX5	35	9	15	27	8	dispersed_ohnolog	HMG/Sox
MXD4	35	11	7	0	35	dispersed_ohnolog	bHLH
NFIL3	35	13	10	35	0	dispersed_SSD	bZIP
NR1H3	34	5	13	19	15	dispersed_ohnolog	Nuclear receptor
GLIS3	34	6	14	8	26	dispersed_ohnolog	C2H2 ZF
MXI1	33	13	10	1	32	dispersed_ohnolog	bHLH
SETBP1	33	14	9	32	1	dispersed_SSD	AT hook
ATF5	33	8	9	28	5	dispersed_ohnolog	bZIP
NFXL1	33	4	12	9	24	dispersed_SSD	NFX
SCML4	30	12	12	18	12	dispersed_ohnolog	AT hook
ETS2	29	15	6	29	0	clustered_cis_ohnolog	Ets
ZNF366	29	5	16	19	10	dispersed_SSD	C2H2 ZF
XBP1	29	15	7	28	1	dispersed_SSD	bZIP
FOS	28	4	11	17	11	clustered_cis_ohnolog	bZIP
MAF	28	6	12	15	13	dispersed_ohnolog	bZIP
KLF2	28	14	10	1	27	dispersed_SSD	C2H2 ZF
ZNF804A	28	9	20	16	12	dispersed_SSD	C2H2 ZF
EGR2	27	5	9	20	7	dispersed_ohnolog	C2H2 ZF
IRF1	27	12	6	18	9	dispersed_SSD	IRF
TSHZ2	26	9	15	20	6	clustered_cis_ohnolog	C2H2 ZF
ZNF704	26	9	11	7	19	dispersed_ohnolog	C2H2 ZF
VDR	25	13	8	25	0	dispersed_ohnolog	Nuclear receptor
KLF10	25	13	9	24	1	dispersed_ohnolog	C2H2 ZF
CREB5	25	6	14	10	15	dispersed_ohnolog	bZIP
BCL6	25	13	8	22	3	dispersed_SSD	C2H2 ZF
ARID5B	24	9	14	21	3	dispersed_ohnolog	ARID/BRIGHT
BHLHE41	24	4	11	12	12	dispersed_SSD	bHLH
HES4	24	4	9	23	1	dispersed_ohnolog	bHLH
SREBF1	24	15	5	24	0	dispersed_ohnolog	bHLH
ZNF831	23	14	9	9	14	dispersed_ohnolog	C2H2 ZF
POU6F1	23	12	8	5	18	dispersed_SSD	Homeodomain; POU
SP110	23	13	5	18	5	clustered_SSD_tandem	SAND
ESR1	23	9	10	10	13	dispersed_ohnolog	Nuclear receptor
BATF	23	13	8	23	0	clustered_cis_ohnolog	bZIP
ZNF318	22	14	5	2	20	dispersed_SSD	C2H2 ZF
MYBL1	22	5	17	22	0	dispersed_ohnolog	Myb/SANT
