test	OR	ci_lo	ci_hi	p	fdr	note
onevsrest__dispersed_ohnolog	2.865233154144268	1.9112429270949418	4.295404268721564	1.7781209918500128e-07	7.112483967400051e-07	n=503, marker_rate=0.163 (82/503 vs 38/597)
onevsrest__clustered_cis_ohnolog	0.5080091533180778	0.21744442566879896	1.1868471636427935	0.12709698088041194	0.16946264117388257	n=98, marker_rate=0.061 (6/98 vs 114/1002)
onevsrest__clustered_SSD_tandem	0.6021080368906456	0.23766179366032558	1.5254201464390749	0.3308591105415333	0.3308591105415333	n=71, marker_rate=0.070 (5/71 vs 115/1029)
onevsrest__dispersed_SSD	0.4191939506073526	0.26809445311239744	0.6554539498515033	6.637728854654577e-05	0.00013275457709309153	n=428, marker_rate=0.063 (27/428 vs 93/672)
pair__within_clustered__cis_ohnolog_vs_SSD_tandem	0.8608695652173913	0.2520715238563459	2.9400243112741555	1.0		6/98 vs 5/71
pair__within_dispersed__ohnolog_vs_SSD	2.8927597431160375	1.8336737296607755	4.563548463412207	1.8879396555649387e-06		82/503 vs 27/428
pair__within_ohnolog__clustered_vs_dispersed	0.3348356309650053	0.14182193509764196	0.7905328585916136	0.007527530804334642		6/98 vs 82/503
pair__within_SSD__clustered_vs_dispersed	1.1251402918069584	0.4184377951841315	3.0253975401298936	0.7940514803738956		5/71 vs 27/428
marginal__ohnolog_vs_SSD	2.503411306042885	1.6389820122061416	3.8237565272529106	1.051096236954324e-05		88/601 vs 32/499
marginal__clustered_vs_dispersed	0.5250261293694112	0.2760089823389182	0.998708209365974	0.04478641859219548		11/169 vs 109/931
logit__ohnolog	2.892759743116036	1.8336890905509062	4.563510234376041	4.9534390117515935e-06		adjusted OR (provenance x arrangement factorial)
logit__clustered	1.125140291806958	0.4184454006043352	3.0253425522639876	0.8152662716617811		adjusted OR (provenance x arrangement factorial)
logit__ohnolog:clustered	0.29759456078785024	0.08029019553663697	1.1030303515714044	0.06979195489010666		adjusted OR (provenance x arrangement factorial)
