meta_index	rel_pos	region	mean_ohnolog	mean_SSD	U	p_value	q_value_BH
0	-0.975	left_flank	0.02553	0.10667	551.0	0.00604	0.1812
1	-0.925	left_flank	0.04255	0.06	663.0	0.4577	0.812
2	-0.875	left_flank	0.0383	0.02	733.0	0.5645	0.812
3	-0.825	left_flank	0.05106	0.02	769.5	0.18	0.812
4	-0.775	left_flank	0.04681	0.06	639.0	0.2605	0.812
5	-0.725	left_flank	0.0383	0.06	659.0	0.3404	0.812
6	-0.675	left_flank	0.05106	0.02667	748.0	0.4017	0.812
7	-0.625	left_flank	0.02553	0.06	690.0	0.7613	0.8708
8	-0.575	left_flank	0.03404	0.06	670.0	0.4961	0.812
9	-0.525	left_flank	0.03404	0.0	765.0	0.106	0.6363
10	-0.475	left_flank	0.01277	0.02667	678.0	0.5512	0.812
11	-0.425	left_flank	0.01702	0.04667	690.5	0.7692	0.8708
12	-0.375	left_flank	0.03404	0.00667	743.0	0.3591	0.812
13	-0.325	left_flank	0.02128	0.02667	681.0	0.5973	0.812
14	-0.275	left_flank	0.04681	0.08	692.5	0.8015	0.8716
15	-0.225	left_flank	0.02128	0.04667	643.0	0.1669	0.812
16	-0.175	left_flank	0.01702	0.00667	727.0	0.5592	0.812
17	-0.125	left_flank	0.02553	0.04667	682.5	0.6802	0.8162
18	-0.075	left_flank	0.0383	0.02	714.0	0.8668	0.8967
19	-0.025	left_flank	0.07234	0.1	606.0	0.1643	0.812
20	0.025	body	0.09317	0.26641	667.5	0.5944	0.812
21	0.075	body	0.01113	0.05181	666.0	0.4476	0.812
22	0.125	body	0.09284	0.00526	788.0	0.1037	0.6363
23	0.175	body	0.02885	0.04049	671.0	0.5088	0.812
24	0.225	body	0.019	0.08096	661.0	0.4367	0.812
25	0.275	body	0.02503	0.05162	695.0	0.8651	0.8967
26	0.325	body	0.01978	0.13144	678.0	0.6198	0.812
27	0.375	body	0.0188	0.07884	668.0	0.4716	0.812
28	0.425	body	0.03051	0.05542	716.0	0.8135	0.8716
29	0.475	body	0.04569	0.02131	728.5	0.6668	0.8162
30	0.525	body	0.02198	0.06966	729.0	0.6226	0.812
31	0.575	body	0.06858	0.12668	734.0	0.6103	0.812
32	0.625	body	0.03023	0.03091	745.0	0.5272	0.812
33	0.675	body	0.07457	0.13728	633.0	0.2922	0.812
34	0.725	body	0.00995	0.10676	602.0	0.08987	0.6363
35	0.775	body	0.02268	0.07051	639.5	0.3261	0.812
36	0.825	body	0.0308	0.04374	658.0	0.4057	0.812
37	0.875	body	0.11593	0.05385	856.5	0.01565	0.3129
38	0.925	body	0.02703	0.01077	749.0	0.3909	0.812
39	0.975	body	0.06539	0.25096	641.5	0.4015	0.812
40	1.025	right_flank	0.05532	0.06667	661.5	0.5346	0.812
41	1.075	right_flank	0.02553	0.15333	503.0	0.00296	0.1776
42	1.125	right_flank	0.05532	0.08	664.5	0.5216	0.812
43	1.175	right_flank	0.04681	0.01333	736.0	0.5228	0.812
44	1.225	right_flank	0.03404	0.06667	601.0	0.07519	0.6363
45	1.275	right_flank	0.02128	0.06667	631.5	0.2095	0.812
46	1.325	right_flank	0.06809	0.04	721.0	0.7901	0.8716
47	1.375	right_flank	0.02979	0.05333	657.5	0.3248	0.812
48	1.425	right_flank	0.02128	0.04	670.5	0.5021	0.812
49	1.475	right_flank	0.03404	0.05333	671.0	0.5084	0.812
50	1.525	right_flank	0.02553	0.04	702.5	0.961	0.9773
51	1.575	right_flank	0.00426	0.04	625.0	0.05184	0.6363
52	1.625	right_flank	0.02128	0.04667	619.0	0.07324	0.6363
53	1.675	right_flank	0.05106	0.04	680.0	0.6736	0.8162
54	1.725	right_flank	0.00426	0.02	696.0	0.7473	0.8708
55	1.775	right_flank	0.02979	0.0	780.0	0.06837	0.6363
56	1.825	right_flank	0.0383	0.06	704.0	0.9921	0.9921
57	1.875	right_flank	0.00426	0.03333	672.5	0.3187	0.812
58	1.925	right_flank	0.08511	0.06667	731.0	0.673	0.8162
59	1.975	right_flank	0.08511	0.1	672.0	0.6028	0.812
