meta_index	rel_pos	region	mean_ohnolog	mean_SSD	U	p_value	q_value_BH
0	-0.975	left_flank	0.01702	0.06667	617.5	0.06827	0.645
1	-0.925	left_flank	0.02979	0.01333	755.0	0.2658	0.7219
2	-0.875	left_flank	0.02979	0.04	673.0	0.5342	0.7945
3	-0.825	left_flank	0.02979	0.01333	721.0	0.7275	0.873
4	-0.775	left_flank	0.02128	0.03333	679.5	0.5741	0.7945
5	-0.725	left_flank	0.02553	0.02667	703.0	0.9707	0.9707
6	-0.675	left_flank	0.02553	0.00667	728.0	0.541	0.7945
7	-0.625	left_flank	0.06383	0.01333	786.5	0.1098	0.645
8	-0.575	left_flank	0.0383	0.00667	758.5	0.2335	0.7219
9	-0.525	left_flank	0.02979	0.01333	741.0	0.3853	0.7586
10	-0.475	left_flank	0.03404	0.02667	698.5	0.8999	0.9473
11	-0.425	left_flank	0.02128	0.02667	681.0	0.5973	0.7945
12	-0.375	left_flank	0.02128	0.03333	692.0	0.7934	0.8927
13	-0.325	left_flank	0.02128	0.04667	646.0	0.273	0.7219
14	-0.275	left_flank	0.02979	0.0	780.0	0.06842	0.645
15	-0.225	left_flank	0.03404	0.00667	758.0	0.238	0.7219
16	-0.175	left_flank	0.02553	0.02667	729.0	0.6224	0.7945
17	-0.125	left_flank	0.02979	0.01333	720.0	0.7445	0.8758
18	-0.075	left_flank	0.01277	0.04	641.0	0.1535	0.645
19	-0.025	left_flank	0.05106	0.05333	668.0	0.5138	0.7945
20	0.025	body	0.03633	0.0462	768.5	0.187	0.7012
21	0.075	body	0.00828	0.00325	727.0	0.5592	0.7945
22	0.125	body	0.08167	0.0	810.0	0.02861	0.645
23	0.175	body	0.02272	0.06373	826.5	0.0378	0.645
24	0.225	body	0.03878	0.01154	792.0	0.1376	0.645
25	0.275	body	0.03552	0.0134	761.0	0.2988	0.7219
26	0.325	body	0.05823	0.0	795.0	0.04429	0.645
27	0.375	body	0.01783	0.07747	654.0	0.2902	0.7219
28	0.425	body	0.0278	0.01385	709.0	0.945	0.961
29	0.475	body	0.01464	0.02693	739.5	0.4057	0.7607
30	0.525	body	0.04438	0.01146	734.0	0.5505	0.7945
31	0.575	body	0.05073	0.03511	720.0	0.8034	0.8927
32	0.625	body	0.04025	0.01122	785.0	0.1169	0.645
33	0.675	body	0.11057	0.03402	796.0	0.1599	0.645
34	0.725	body	0.0137	0.03773	679.0	0.6331	0.7945
35	0.775	body	0.01471	0.03352	732.0	0.6356	0.7945
36	0.825	body	0.04429	0.0418	656.0	0.4222	0.7677
37	0.875	body	0.05642	0.01402	792.0	0.1376	0.645
38	0.925	body	0.03541	0.02791	765.0	0.3248	0.7219
39	0.975	body	0.00767	0.05698	742.0	0.4716	0.7945
40	1.025	right_flank	0.05106	0.00667	758.5	0.2336	0.7219
41	1.075	right_flank	0.02128	0.06667	609.0	0.07355	0.645
42	1.125	right_flank	0.05957	0.03333	728.0	0.6734	0.8246
43	1.175	right_flank	0.05106	0.02667	761.0	0.2982	0.7219
44	1.225	right_flank	0.04255	0.03333	693.5	0.8367	0.8965
45	1.275	right_flank	0.01702	0.03333	678.0	0.5514	0.7945
46	1.325	right_flank	0.03404	0.03333	709.0	0.9449	0.961
47	1.375	right_flank	0.02979	0.00667	742.5	0.3655	0.7562
48	1.425	right_flank	0.02979	0.0	765.0	0.1061	0.645
49	1.475	right_flank	0.02979	0.04	665.0	0.4795	0.7945
50	1.525	right_flank	0.02128	0.04	657.0	0.3196	0.7219
51	1.575	right_flank	0.02128	0.05333	633.5	0.1612	0.645
52	1.625	right_flank	0.02128	0.04667	655.5	0.3045	0.7219
53	1.675	right_flank	0.03404	0.02667	731.0	0.5931	0.7945
54	1.725	right_flank	0.02128	0.00667	727.5	0.5501	0.7945
55	1.775	right_flank	0.02553	0.01333	740.5	0.392	0.7586
56	1.825	right_flank	0.02128	0.02667	715.0	0.8309	0.8965
57	1.875	right_flank	0.00426	0.00667	696.5	0.7617	0.8788
58	1.925	right_flank	0.05532	0.00667	789.0	0.09945	0.645
59	1.975	right_flank	0.02979	0.02667	667.0	0.3591	0.7562
