meta_index	rel_pos	region	mean_ohnolog	mean_SSD	U	p_value	q_value_BH
0	-0.975	left_flank	0.01277	0.04667	653.0	0.2805	0.6554
1	-0.925	left_flank	0.02979	0.02667	716.0	0.8564	0.9199
2	-0.875	left_flank	0.02979	0.02667	716.0	0.8564	0.9199
3	-0.825	left_flank	0.0383	0.03333	685.0	0.7374	0.9199
4	-0.775	left_flank	0.02979	0.04	645.0	0.306	0.6554
5	-0.725	left_flank	0.02979	0.01333	735.0	0.5364	0.8402
6	-0.675	left_flank	0.01702	0.0	765.0	0.1059	0.5442
7	-0.625	left_flank	0.02979	0.00667	772.0	0.1633	0.5442
8	-0.575	left_flank	0.02553	0.02667	721.5	0.7641	0.9199
9	-0.525	left_flank	0.02553	0.00667	757.0	0.2468	0.6171
10	-0.475	left_flank	0.01702	0.02667	679.5	0.5741	0.8402
11	-0.425	left_flank	0.01277	0.03333	632.5	0.1548	0.5442
12	-0.375	left_flank	0.02128	0.03333	683.5	0.6937	0.9199
13	-0.325	left_flank	0.01277	0.04667	585.5	0.03279	0.5442
14	-0.275	left_flank	0.02553	0.02667	701.0	0.9499	0.966
15	-0.225	left_flank	0.03404	0.00667	801.5	0.07157	0.5442
16	-0.175	left_flank	0.0383	0.02	756.0	0.3846	0.7452
17	-0.125	left_flank	0.02553	0.01333	734.0	0.5502	0.8402
18	-0.075	left_flank	0.02128	0.02	696.0	0.8586	0.9199
19	-0.025	left_flank	0.05532	0.04	723.0	0.7956	0.9199
20	0.025	body	0.03429	0.03243	804.5	0.1347	0.5442
21	0.075	body	0.01015	0.00392	791.0	0.1422	0.5442
22	0.125	body	0.06712	0.03362	798.0	0.1508	0.5442
23	0.175	body	0.01824	0.03975	813.0	0.08529	0.5442
24	0.225	body	0.06254	0.04783	754.0	0.4513	0.7975
25	0.275	body	0.02623	0.01122	842.0	0.0239	0.5442
26	0.325	body	0.06841	0.07622	691.0	0.8232	0.9199
27	0.375	body	0.01549	0.0406	696.0	0.8792	0.9255
28	0.425	body	0.01585	0.01385	710.0	0.9293	0.9613
29	0.475	body	0.0165	0.02016	722.5	0.7503	0.9199
30	0.525	body	0.02713	0.05152	735.0	0.5978	0.8541
31	0.575	body	0.03019	0.02145	719.0	0.8167	0.9199
32	0.625	body	0.05829	0.04203	791.0	0.1842	0.5817
33	0.675	body	0.05928	0.04604	796.0	0.2201	0.6171
34	0.725	body	0.01616	0.02351	723.0	0.7721	0.9199
35	0.775	body	0.01428	0.05336	644.0	0.3168	0.6554
36	0.825	body	0.02849	0.03901	595.0	0.1068	0.5442
37	0.875	body	0.04139	0.00887	806.0	0.09632	0.5442
38	0.925	body	0.02112	0.03867	763.0	0.385	0.7452
39	0.975	body	0.02631	0.07934	802.5	0.1428	0.5442
40	1.025	right_flank	0.04681	0.00667	803.0	0.06772	0.5442
41	1.075	right_flank	0.03404	0.07333	586.0	0.09193	0.5442
42	1.125	right_flank	0.04681	0.02667	750.0	0.4748	0.8054
43	1.175	right_flank	0.04255	0.01333	794.0	0.1276	0.5442
44	1.225	right_flank	0.0383	0.02	769.5	0.2873	0.6554
45	1.275	right_flank	0.01702	0.03333	669.0	0.4832	0.8054
46	1.325	right_flank	0.02553	0.03333	677.5	0.6417	0.8751
47	1.375	right_flank	0.02553	0.00667	757.0	0.2468	0.6171
48	1.425	right_flank	0.03404	0.02	741.0	0.5246	0.8402
49	1.475	right_flank	0.02553	0.03333	677.5	0.6417	0.8751
50	1.525	right_flank	0.01702	0.04	624.0	0.1487	0.5442
51	1.575	right_flank	0.01702	0.04667	665.0	0.4357	0.7975
52	1.625	right_flank	0.01277	0.02667	656.0	0.309	0.6554
53	1.675	right_flank	0.03404	0.02	774.0	0.2195	0.6171
54	1.725	right_flank	0.02553	0.00667	757.0	0.2468	0.6171
55	1.775	right_flank	0.01277	0.00667	726.5	0.5683	0.8402
56	1.825	right_flank	0.02979	0.02667	703.0	0.9786	0.9786
57	1.875	right_flank	0.01702	0.02	716.0	0.8133	0.9199
58	1.925	right_flank	0.05106	0.01333	824.0	0.05675	0.5442
59	1.975	right_flank	0.02553	0.04	662.5	0.4519	0.7975
