gene	disease	n_assoc	n_snps	n_studies	max_mlog	min_p	is_MHC	is_protein_coding
STAT4	SLE_lupus	33	18	25	160.0	1e-160	False	True
BLK	SLE_lupus	24	12	19	88.0	1e-88	False	True
IRF5	SLE_lupus	24	9	17	142.69897000433602	2.0000000000000004e-143	False	True
TNFSF4	SLE_lupus	23	15	14	89.52287874528034	3.000000000000001e-90	False	True
ITGAM	SLE_lupus	23	7	21	84.04575749056067	9.000000000000007e-85	False	True
HLA-DQA1	SLE_lupus	21	18	16	54.0	1e-54	True	True
FAM167A	SLE_lupus	17	8	14	69.69897000433602	2.0000000000000003e-70	False	True
WDFY4	SLE_lupus	16	11	12	39.69897000433602	2.0000000000000003e-40	False	True
TNFAIP3	SLE_lupus	16	10	14	83.52287874528034	3.000000000000001e-84	False	True
TNIP1	SLE_lupus	15	9	11	45.0	1e-45	False	True
ETS1	SLE_lupus	15	9	12	57.69897000433602	2.0000000000000004e-58	False	True
TNPO3	SLE_lupus	14	7	13	142.69897000433602	2.0000000000000004e-143	False	True
GTF2I-AS1	SLE_lupus	14	8	8	297.69897000433605	1.9999999999998695e-298	False	False
ATG5	SLE_lupus	13	8	10	38.22184874961636	5.999999999999905e-39	False	True
LINC02132	SLE_lupus	13	11	10	32.0	1e-32	False	False
MTCO3P1	SLE_lupus	13	13	7	92.52287874528034	3.000000000000001e-93	False	False
HLA-DRB1	SLE_lupus	13	13	10	35.39794000867204	4.000000000000001e-36	True	True
TYK2	SLE_lupus	12	8	12	34.045757490560675	9.000000000000007e-35	False	True
MIR3142HG	SLE_lupus	12	3	10	36.52287874528034	3.0000000000000012e-37	False	False
SMG7	SLE_lupus	12	5	11	87.52287874528034	3.000000000000001e-88	False	True
NCF2	SLE_lupus	12	5	11	87.52287874528034	3.000000000000001e-88	False	True
HLA-DQB1	SLE_lupus	11	11	6	67.39794000867204	4.000000000000001e-68	True	True
BLTP3A	SLE_lupus	10	6	9	21.522878745280337	3.0000000000000013e-22	False	True
TPI1P2	SLE_lupus	10	6	5	34.096910013008056	8.000000000000003e-35	False	False
TNXB	SLE_lupus	9	7	8	116.22184874961636	6.000000000000003e-117	False	True
FCGR2A	SLE_lupus	9	6	7	13.69897000433602	1.999999999999992e-14	False	True
AP4B1-AS1	SLE_lupus	9	3	7	97.39794000867204	4.000000000000001e-98	False	False
LINC01082	SLE_lupus	9	8	8	32.0	1e-32	False	False
UBE2L3	SLE_lupus	9	6	9	44.69897000433602	2.0000000000000003e-45	False	True
PDHX	SLE_lupus	8	7	6	23.0	1e-23	False	True
CD44-DT	SLE_lupus	8	7	6	23.0	1e-23	False	False
JAZF1	SLE_lupus	8	7	7	10.69897000433602	1.999999999999992e-11	False	True
SLC15A4	SLE_lupus	8	6	7	29.69897000433602	2e-30	False	True
SPMIP7	SLE_lupus	8	5	6	59.04575749056068	8.99999999999986e-60	False	True
IKZF1	SLE_lupus	8	5	6	59.04575749056068	8.99999999999986e-60	False	True
IL12RB2	SLE_lupus	8	6	6	16.096910013008056	8.000000000000003e-17	False	True
CARMIL1	SLE_lupus	8	8	3	19.0	1e-19	False	True
CMAHP	SLE_lupus	8	8	2	19.0	1e-19	False	False
TSBP1-AS1	SLE_lupus	8	8	3	26.096910013008056	8.000000000000003e-27	False	False
LINC02865	SLE_lupus	7	6	7	83.52287874528034	3.000000000000001e-84	False	False
CLEC16A	SLE_lupus	7	6	6	30.522878745280337	3.000000000000001e-31	False	True
PTPN22	SLE_lupus	7	1	7	97.39794000867204	4.000000000000001e-98	False	True
BANK1	SLE_lupus	7	6	6	23.39794000867204	3.999999999999968e-24	False	True
LINC02098	SLE_lupus	7	5	7	57.69897000433602	2.0000000000000004e-58	False	False
HIP1	SLE_lupus	7	7	3	61.22184874961636	5.999999999999905e-62	False	True
HLA-DRB9	SLE_lupus	7	7	2	116.30102999566398	4.999999999999999e-117	True	False
GTF2I	SLE_lupus	7	4	4	297.69897000433605	1.9999999999998695e-298	False	True
