gene	paralog	node
ARX	PAX2	Bilateria
ARX	UNCX	Bilateria
ARX	RAX2	Bilateria
ARX	DUXB	Bilateria
ARX	RHOXF1	Bilateria
ARX	PRRX1	Bilateria
ARX	PAX1	Bilateria
ARX	PAX9	Bilateria
ARX	PAX4	Bilateria
ARX	VSX2	Bilateria
ARX	PAX6	Bilateria
ARX	EVX1	Bilateria
ARX	ESX1	Bilateria
ARX	PRRX2	Bilateria
ARX	OTP	Bilateria
ARX	MIXL1	Bilateria
ARX	PROP1	Bilateria
ARX	HESX1	Bilateria
ARX	DMBX1	Bilateria
ARX	SHOX	Bilateria
ARX	SHOX2	Bilateria
ARX	PITX1	Bilateria
ARX	DPRX	Bilateria
ARX	PAX8	Bilateria
ARX	GSC2	Bilateria
ARX	ALX1	Bilateria
ARX	DRGX	Bilateria
ARX	PAX7	Bilateria
ARX	OTX2	Bilateria
ARX	DUX4L9	Bilateria
ARX	DUX4	Bilateria
ARX	PHOX2A	Bilateria
ARX	ISX	Bilateria
ARX	RAX	Bilateria
ARX	PAX5	Bilateria
ARX	NOBOX	Bilateria
ARX	CRX	Bilateria
ARX	PITX2	Bilateria
ARX	DUXA	Bilateria
ARX	ARGFX	Bilateria
ARX	PAX3	Bilateria
ARX	RHOXF2	Bilateria
ARX	RHOXF2B	Bilateria
ARX	GSC	Bilateria
ARX	EVX2	Bilateria
ARX	OTX1	Bilateria
ARX	PITX3	Bilateria
ARX	ALX3	Bilateria
ARX	PHOX2B	Bilateria
ARX	SEBOX	Bilateria
ARX	ALX4	Bilateria
MEOX1	MEOX2	Gnathostomata
SOX8	SOX12	Bilateria
SOX8	SOX21	Bilateria
SOX8	SOX7	Bilateria
SOX8	SOX5	Bilateria
SOX8	SOX14	Bilateria
SOX8	SOX9	Bilateria
SOX8	SOX30	Bilateria
SOX8	SOX10	Bilateria
SOX8	SOX1	Bilateria
SOX8	CFAP65	Bilateria
SOX8	SOX11	Bilateria
SOX8	SOX2	Bilateria
SOX8	SOX18	Bilateria
SOX8	SOX3	Bilateria
SOX8	SOX15	Bilateria
SOX8	SOX13	Bilateria
SOX8	SOX4	Bilateria
SOX8	SRY	Bilateria
SOX8	SOX6	Bilateria
SOX8	SOX17	Bilateria
ZFX	ZNF561	Bilateria
ZFX	ZNF562	Bilateria
ZFX	ZSCAN20	Bilateria
ZFX	IKZF5	Bilateria
ZFX	ZNF79	Bilateria
ZFX	ZNF551	Bilateria
ZFX	ZNF548	Bilateria
ZFX	ZNF711	Bilateria
ZFX	ZNF837	Bilateria
ZFX	ZNF792	Bilateria
ZFX	ZNF691	Bilateria
ZFX	ZNF584	Bilateria
ZFX	ZNF660	Bilateria
ZFX	ZNF586	Bilateria
ZFX	ZNF570	Bilateria
ZFX	PRDM15	Bilateria
ZFX	ZNF773	Bilateria
ZFX	ZNF583	Bilateria
ZFX	ZNF610	Bilateria
ZFX	ZNF480	Bilateria
ZFX	ZNF418	Bilateria
ZFX	ZNF793	Bilateria
ZFX	ZSCAN2	Bilateria
ZFX	ZNF8	Bilateria
ZFX	ZFAT	Bilateria
ZFX	E4F1	Bilateria
ZFX	ZNF587B	Bilateria
ZFX	ZNF552	Bilateria
ZFX	ZNF549	Bilateria
ZFX	ZNF154	Bilateria
ZFX	ZNF134	Bilateria
ZFX	ZNF772	Bilateria
ZFX	ZNF256	Bilateria
ZFX	ZIK1	Bilateria
ZFX	ZNF419	Bilateria
ZFX	ZNF304	Bilateria
ZFX	ZBTB11	Bilateria
ZFX	ZFY	Boreoeutheria
DLX6	DLX2	Bilateria
DLX6	NANOGP8	Bilateria
DLX6	NANOG	Bilateria
DLX6	VENTX	Bilateria
DLX6	DLX5	Bilateria
DLX6	DLX1	Bilateria
DLX6	DLX3	Bilateria
DLX6	BSX	Bilateria
DLX6	DLX4	Bilateria
ETV1	ELF3	Bilateria
ETV1	ETV7	Bilateria
ETV1	ERFL	Bilateria
ETV1	SPIC	Bilateria
ETV1	ETV4	Bilateria
ETV1	GABPA	Bilateria
ETV1	ELK3	Bilateria
