cluster_id	dup_class4	chrom	n_members	members	elem_win	elem_body	elem_flank	elem_per_kb_window	elem_per_kb_body	elem_per_kb_flank	obs_exp_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	26	6	20	0.11915018422451562	0.2866150759529951	0.10137977878932268	3.4956807214762047
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	7	0	7	0.029923481383319794	0.0	0.035	0.8779083110271906
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	5	1	4	0.015168752370117557	0.007714561234329798	0.02	0.4450275555525016
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	29	16	13	0.10190312877744356	0.18916107065165988	0.065	2.989678992473791
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	15	4	11	0.06553681202731575	0.13850895114096748	0.055	1.9227479323003862
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	20	2	18	0.0879960225797794	0.07330572151156398	0.09	2.581666169471423
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	45	14	31	0.1778642066070624	0.2641409758122335	0.155	5.218258638235825
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	32	6	26	0.14327096569108094	0.25692630497152397	0.13	4.203346859874538
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	9	0	9	0.0415418487969019	0.0	0.045	1.218773104875573
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	26	12	14	0.07731031468271549	0.08803656451979723	0.07	2.268164152380906
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	53	36	17	0.06501320504060872	0.058515748050694136	0.085	1.9073861192996353
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	22	8	14	0.0832494532024551	0.12448261911430615	0.07	2.442409220995401
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	38	7	31	0.12813120635530784	0.07248552878193247	0.155	3.7591699147669515
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	34	3	31	0.152304501493928	0.1291044454964066	0.155	4.468376722466056
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	38	21	17	0.1413432819166149	0.30501532338886544	0.085	4.1467916220344865
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	26	12	14	0.06865647206077682	0.0671527781663934	0.07	2.01427389600331
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	15	2	13	0.052742245131890776	0.023696120945001304	0.065	1.5473752786442434
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	28	6	22	0.12352596030405033	0.22494657518839278	0.11	3.6240591724394293
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	64	42	22	0.11026498053133939	0.11040428999526838	0.11	3.235002691821638
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	3	0	3	0.012171471693213998	0.0	0.015	0.35709201145496156
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	17	6	11	0.0681324494817926	0.1211778486892596	0.055	1.9988998901728054
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	27	12	15	0.08469020636180283	0.10100244930939575	0.075	2.48467867342065
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	0	0	0	0.0	0.0	0.0	0.0
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	18	4	14	0.048968665495046006	0.023868911935649415	0.07	1.4366643328464834
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	19	8	11	0.03748259032317884	0.026066952968700107	0.055	1.0996807872057612
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	44	4	40	0.19093824449642208	0.1314017279327223	0.2	5.601830535326359
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	1	0	1	0.002404643848199643	0.0	0.005	0.07054850310872036
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	17	2	15	0.0760776170700272	0.08526603001364257	0.075	2.2319987254608398
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	22	6	16	0.07832749437466176	0.07419131467009596	0.08	2.298006619369573
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	19	11	8	0.05093792811317872	0.06358271243851263	0.04	1.4944394291632368
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	21	6	15	0.06160724501201341	0.04259276348948314	0.075	1.8074605599094433
clust0034	clustered_cis_ohnolog	chr1	2	FOXE3,FOXD2	17	8	9	0.07575555020810495	0.3277882487912808	0.045	2.222549785641103
clust0030	clustered_cis_ohnolog	chr1	2	ETV3L,ETV3	13	2	11	0.05275310330275006	0.043074669940341585	0.055	1.5476938404558789
clust0039	clustered_cis_ohnolog	chr1	2	PBX1,LMX1A	3	0	3	0.00299661083314771	0.0	0.015	0.08791589192562813
clust0040	clustered_cis_ohnolog	chr10	2	TLX1,LBX1	24	4	20	0.08049288476437384	0.04074855087965935	0.1	2.361535798858906
clust0041	clustered_cis_ohnolog	chr10	2	HMX3,HMX2	10	2	8	0.04657618466525696	0.13603591348115904	0.04	1.3664726737430797
clust0031	clustered_cis_ohnolog	chr11	2	ELF5,EHF	6	2	4	0.015604803158412159	0.010840284665875326	0.02	0.457820606139429
clust0032	clustered_cis_ohnolog	chr11	2	ETS1,FLI1	81	67	14	0.14607596671632048	0.18899539076912664	0.07	4.285641218640903
clust0007	clustered_cis_ohnolog	chr12	2	SP7,SP1	52	15	37	0.179390142511669	0.1669058984544514	0.185	5.263027219658161
clust0076	clustered_cis_ohnolog	chr12	2	AC023509.3,ATF7	32	9	23	0.1000878896781236	0.07517603722049132	0.115	2.9364227061687216
clust0071	clustered_cis_ohnolog	chr12	2	MYF6,MYF5	0	0	0	0.0	0.0	0.0	0.0
clust0069	clustered_cis_ohnolog	chr12	2	TBX5,TBX3	1	1	0	0.0018858530845013049	0.0030278807257224523	0.0	0.05532799058544172
clust0043	clustered_cis_ohnolog	chr13	3	GSX1,PDX1,CDX2	0	0	0	0.0	0.0	0.0	0.0
clust0008	clustered_cis_ohnolog	chr13	2	KLF5,KLF12	58	53	5	0.04533275807626533	0.04910007893069292	0.025	1.329992475378312
clust0009	clustered_cis_ohnolog	chr13	2	ZIC5,ZIC2	4	2	2	0.017873021121442713	0.08403008276963153	0.01	0.5243665863834152
clust0044	clustered_cis_ohnolog	chr14	2	NKX2-1,NKX2-8	0	0	0	0.0	0.0	0.0	0.0
clust0045	clustered_cis_ohnolog	chr14	3	SIX6,SIX1,SIX4	7	4	3	0.016859141869678834	0.01858692874236193	0.015	0.494620949166293
clust0077	clustered_cis_ohnolog	chr14	3	FOS,JDP2,BATF	66	42	24	0.14097533572421808	0.15661882334515434	0.12	4.135996654156983
clust0046	clustered_cis_ohnolog	chr16	3	IRX3,IRX5,IRX6	3	3	0	0.0024049021525477535	0.0028640930562927945	0.0	0.07055608135575238
clust0012	clustered_cis_ohnolog	chr16	2	ZNF469,ZFPM1	35	24	11	0.09884995142230958	0.15577132769094967	0.055	2.9001035269463653
clust0057	clustered_cis_ohnolog	chr17	2	THRA,NR1D1	46	15	31	0.18984808026446662	0.354618312489657	0.155	5.569846815672944
clust0067	clustered_cis_ohnolog	chr17	3	STAT5B,STAT5A,STAT3	60	28	32	0.15408637054690388	0.14784151389710232	0.16	4.5206539836152775
clust0013	clustered_cis_ohnolog	chr17	2	SP6,SP2	42	10	32	0.14786181257459102	0.11897821508881723	0.16	4.338035153060016
clust0047	clustered_cis_ohnolog	chr17	2	DLX4,DLX3	24	0	24	0.10589668013907765	0.0	0.12	3.1068435658728895
clust0070	clustered_cis_ohnolog	chr17	2	TBX2,TBX4	13	7	6	0.045571341935800494	0.08209506608652821	0.03	1.336992154007939
clust0056	clustered_cis_ohnolog	chr19	2	MEF2B,BORCS8-MEF2B	25	10	15	0.10138245110324383	0.21463372754394625	0.075	2.9744031209369632
clust0017	clustered_cis_ohnolog	chr19	3	ZNF536,TSHZ3,ZNF507	22	20	2	0.009311081541373369	0.009247374670331094	0.01	0.27317262203254594
clust0078	clustered_cis_ohnolog	chr19	2	CEBPA,CEBPG	18	3	15	0.0636600271616116	0.03625290023201856	0.075	1.8676859891225388
clust0048	clustered_cis_ohnolog	chr19	2	TPRX1,CRX	23	3	20	0.09500285008550256	0.0712622927454986	0.1	2.787235569047945
clust0049	clustered_cis_ohnolog	chr2	2	SIX3,SIX2	7	7	0	0.026143790849673203	0.1033210332103321	0.0	0.7670180810404882
clust0050	clustered_cis_ohnolog	chr2	2	DLX1,DLX2	7	4	3	0.03208654198753209	0.22026431718061673	0.015	0.9413691382406981
clust0068	clustered_cis_ohnolog	chr2	2	STAT1,STAT4	78	50	28	0.17601819757365683	0.20564622269018162	0.14	5.164099610016555
clust0051	clustered_cis_ohnolog	chr20	2	NKX2-4,NKX2-2	21	4	17	0.06589289580450519	0.03369868322395302	0.085	1.9331948754020944
clust0021	clustered_cis_ohnolog	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	71	52	19	0.03501718307969714	0.028452989095939102	0.095	1.0273495807731527
clust0033	clustered_cis_ohnolog	chr21	2	ERG,ETS2	13	12	1	0.020157288875657438	0.02697065592635213	0.005	0.5913834424887472
clust0022	clustered_cis_ohnolog	chr22	2	ZNF280B,ZNF280A	6	1	5	0.025440006105601466	0.027894780886496138	0.025	0.7463701334277102
clust0058	clustered_cis_ohnolog	chr3	3	NR1D2,THRB,RARB	29	15	14	0.015653287244298156	0.009076353919714205	0.07	0.4592430536617149
clust0023	clustered_cis_ohnolog	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	15	7	8	0.041799030262497906	0.044063955684250276	0.04	1.2263184082845122
clust0024	clustered_cis_ohnolog	chr3	2	ZIC4,ZIC1	0	0	0	0.0	0.0	0.0	0.0
clust0052	clustered_cis_ohnolog	chr5	3	IRX4,IRX2,IRX1	8	0	8	0.004158025769364706	0.0	0.04	0.12198999620496435
clust0036	clustered_cis_ohnolog	chr6	3	FOXQ1,FOXF2,FOXC1	15	14	1	0.02989244697578114	0.04638849035285074	0.005	0.8769978098740334
clust0001	clustered_cis_ohnolog	chr6	2	TFAP2D,TFAP2B	0	0	0	0.0	0.0	0.0	0.0
clust0025	clustered_cis_ohnolog	chr7	2	SP8,SP4	19	19	0	0.020374395604277767	0.02593704396874996	0.0	0.597753015567298
clust0053	clustered_cis_ohnolog	chr7	2	DLX6,DLX5	3	0	3	0.013673842395292552	0.0	0.015	0.4011692265591417
