cluster_id	dup_class4	chrom	n_members	members	n_links_total	n_distinct_elem_total	n_enhancer_elem_min	n_enhancer_elem_max	n_enhancer_elem_sum	n_shared_enhancer_any	n_shared_enhancer_in_window	shared_frac	mean_open_enh	per_member
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	30	16	14	14	28	14	14	0.875	8.561928571428574	ZNF672:links=15,enh=14;ZNF692:links=15,enh=14
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	0	0	0	0	0	0	nan	nan	NANOGNB:links=0,enh=0;NANOG:links=0,enh=0
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	0	0	0	0	0	0	nan	nan	SOHLH2:links=0,enh=0;CCDC169-SOHLH2:links=0,enh=0
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	37	26	14	21	35	11	9	0.4230769230769231	12.628616666666668	ZBTB25:links=22,enh=21;ZBTB1:links=15,enh=14
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	0	0	0	0	0	0	0	nan	nan	MESP1:links=0,enh=0;MESP2:links=0,enh=0
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	36	20	16	18	34	16	8	0.8	13.371590625	ZSCAN32:links=17,enh=16;ZNF174:links=19,enh=18
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	52	34	24	26	50	18	14	0.5294117647058824	14.1339	ZNF48:links=27,enh=26;ZNF771:links=25,enh=24
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	34	18	16	16	32	16	13	0.8888888888888888	10.6621625	ZNF668:links=17,enh=16;ZNF646:links=17,enh=16
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	0	0	0	0	0	0	nan	nan	FOXC2:links=0,enh=0;FOXL1:links=0,enh=0
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	83	32	18	21	79	21	10	0.65625	15.76919223057644	ZNF397:links=19,enh=18;ZSCAN30:links=20,enh=19;ZNF24:links=22,enh=21;ZNF396:links=22,enh=21
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	42	40	17	23	40	2	2	0.05	11.052252685421994	ZNF516:links=24,enh=23;ZNF236:links=18,enh=17
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	24	24	0	23	23	0	0	0.0	11.707195652173914	ZNF788:links=0,enh=0;ZNF625:links=24,enh=23
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	56	31	14	21	53	15	10	0.4838709677419355	10.597785714285715	AKAP8:links=22,enh=21;AKAP8L:links=15,enh=14;WIZ:links=19,enh=18
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	46	28	21	23	44	18	14	0.6428571428571429	11.960211180124222	ZNF576:links=24,enh=23;ZNF428:links=22,enh=21
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	96	32	13	18	90	20	16	0.625	12.867439478276353	ZNF579:links=17,enh=16;FIZ1:links=19,enh=18;ZNF865:links=16,enh=15;ZNF784:links=16,enh=15;ZNF580:links=14,enh=13;ZNF581:links=14,enh=13
