gene	origin_window	deepest_ortholog_species	deepest_clade	n_species_with_ortholog	invertebrate_ortholog	cyclostome_ortholog	gnathostome_ortholog	in_scerevisiae	in_celegans	in_dmelanogaster	in_cintestinalis	in_csavignyi	in_eburgeri	in_pmarinus	in_cmilii	in_lchalumnae	in_drerio	in_xtropicalis	in_ggallus	in_mmusculus	dup_class4	provenance	arrangement	TF_subfamily	cluster_id
ADNP	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
ADNP2	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
AEBP2	before_R1	cintestinalis	Tunicata	5	True	False	True	0	0	0	1	0	0	0	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
AHCTF1	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	0	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	AT hook	
AHDC1	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	AT hook	
AHR	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
AHRR	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	0	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
AIRE	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	SAND	
AKAP8	R1_to_R2	eburgeri	Cyclostomata	4	False	True	True	0	0	0	0	0	1	0	0	1	0	0	1	1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0016
AKAP8L	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	clustered_SSD_tandem	SSD	clustered	C2H2 ZF	clust0016
AKNA	before_R1	cintestinalis	Tunicata	4	True	False	True	0	0	0	1	0	0	0	0	0	0	1	1	1	dispersed_SSD	SSD	dispersed	AT hook	
ALX1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
ALX3	after_R2	ggallus	Aves	2	False	False	True	0	0	0	0	0	0	0	0	0	0	0	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
ALX4	after_R2	cmilii	Chondrichthyes	6	False	False	True	0	0	0	0	0	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
ANHX	before_R1	celegans	Protostomia	8	True	True	True	0	1	1	0	1	1	1	1	1	1	0	0	0	dispersed_SSD	SSD	dispersed	Homeodomain	
ANKZF1	before_R1	scerevisiae	Fungi	9	True	True	True	1	1	0	1	0	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
AR	before_R1	dmelanogaster	Protostomia	7	True	False	True	0	0	1	1	0	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Nuclear receptor	
ARGFX	human_only			0	False	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	dispersed_SSD	SSD	dispersed	Homeodomain	
ARID3A	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	ARID/BRIGHT	
ARID3B	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	1	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	ARID/BRIGHT	
ARID3C	before_R1	celegans	Protostomia	9	True	False	True	0	1	1	0	1	0	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	ARID/BRIGHT	
ARID5A	before_R1	celegans	Protostomia	7	True	False	True	0	1	1	0	1	0	0	1	1	0	0	1	1	dispersed_ohnolog	ohnolog	dispersed	ARID/BRIGHT	
ARID5B	before_R1	celegans	Protostomia	6	True	False	True	0	1	1	1	0	0	0	1	0	0	0	1	1	dispersed_ohnolog	ohnolog	dispersed	ARID/BRIGHT	
ARNT	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	0	1	1	0	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
