cluster_id	dup_class4	chrom	n_members	members	n_pair_enh_elem	ctcf_mean_pair_enh	ctcf_max_pair_enh	n_pair_prom_elem	ctcf_mean_pair_prom	n_shared_enh	ctcf_mean_shared_enh	n_win_elem	ctcf_mean_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	23	7.21688695652174	24.2483	2	8.68905	14	7.212671428571428	27	8.114244444444445
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	nan	nan	0	nan	0	nan	4	16.515225
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	nan	nan	0	nan	0	nan	8	10.302
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	29	8.076041379310345	31.1534	2	1.20665	10	12.25596	19	8.060473684210526
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	20	17.005194999999997	31.5654	1	18.318	0	nan	12	13.081441666666665
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	22	6.938209090909091	38.467	2	2.37195	19	7.875784210526317	26	5.518473076923077
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	33	4.762472727272727	32.3941	2	5.5543000000000005	14	8.384714285714285	40	5.622674999999999
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	18	11.043799999999997	34.9434	2	3.3709	17	11.091088235294118	26	7.682003846153844
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	nan	nan	0	nan	0	nan	6	16.027
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	43	7.689623255813952	35.344	4	1.66255	25	6.538532	21	7.460461904761905
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	39	8.230038461538461	42.4385	2	1.0439500000000002	4	0.9054749999999999	36	9.092480555555555
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	0	nan	nan	0	nan	0	nan	13	11.624107692307692
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	32	8.118359375	33.7211	3	10.088733333333332	17	8.993494117647058	28	4.334232142857142
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	28	10.692746428571427	37.9022	2	2.0134	17	7.886235294117647	34	6.911582352941176
