gene	genomic_class	arrangement	provenance	dup_class4	TF_subfamily	in_lambert	hgnc_locus_type	is_ohnolog	is_ohnolog_relaxed	ohnolog_rescue_via_cluster	cluster_id	n_ohnolog_partners	ohnolog_dup_time	youngest_paralog_node	age_category	hgnc_id	is_IEI	is_IEI_amberplus	is_IEI_monoallelic	lineage	origin_window
AKAP8	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0			no_paralog_node	HGNC:378	False	False	False		R1_to_R2
AKAP8L	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0			no_paralog_node	HGNC:29857	False	False	False		R1_to_R2
FIZ1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	HGNC:25917	False	False	False		before_R1
REPIN1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0027	0			no_paralog_node	HGNC:17922	False	False	False		before_R1
WIZ	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0		Bilateria	pre2R_ancient	HGNC:30917	False	False	False		after_R2
ZBTB1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0003	0		Opisthokonta	pre2R_ancient	HGNC:20259	False	False	False		after_R2
ZBTB25	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0003	0		Bilateria	pre2R_ancient	HGNC:13112	False	False	False		after_R2
ZBTB26	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0004	0		Bilateria	pre2R_ancient	HGNC:23383	False	False	False		after_R2
ZBTB34	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0005	0		Bilateria	pre2R_ancient	HGNC:31446	False	False	False		after_R2
ZBTB43	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0005	0		Bilateria	pre2R_ancient	HGNC:17908	False	False	False		before_R1
ZBTB6	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0004	0		Bilateria	pre2R_ancient	HGNC:16764	False	False	False		after_R2
ZNF107	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0026	0		Bilateria	pre2R_ancient	HGNC:12887	False	False	False		before_R1
ZNF138	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0026	0		Simiiformes	post2R_young	HGNC:12922	False	False	False		human_only
ZNF165	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0065	0		Vertebrata	2R_vertebrata	HGNC:12953	False	False	False		human_only
ZNF174	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0061	0		Bilateria	pre2R_ancient	HGNC:12963	False	False	False		before_R1
ZNF236	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0014	0			no_paralog_node	HGNC:13028	False	False	False		before_R1
ZNF24	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	HGNC:13032	False	False	False		after_R2
ZNF396	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	HGNC:18824	False	False	False		human_only
ZNF397	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	HGNC:18818	False	False	False		after_R2
ZNF428	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0018	0			no_paralog_node	HGNC:20804	False	False	False		after_R2
ZNF48	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0010	0		Bilateria	pre2R_ancient	HGNC:13114	False	False	False		before_R1
ZNF497	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0020	0		Bilateria	pre2R_ancient	HGNC:23714	False	False	False		before_R1
ZNF516	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0014	0		Bilateria	pre2R_ancient	HGNC:28990	False	False	False		after_R2
ZNF576	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0018	0		Bilateria	pre2R_ancient	HGNC:28357	False	False	False		before_R1
ZNF579	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	HGNC:26646	False	False	False		after_R2
ZNF580	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	HGNC:29473	False	False	False		after_R2
ZNF581	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	HGNC:25017	False	False	False		after_R2
ZNF625	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0015	0		Bilateria	pre2R_ancient	HGNC:30571	False	False	False		human_only
ZNF646	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0011	0		Bilateria	pre2R_ancient	HGNC:29004	False	False	False		after_R2
ZNF668	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0011	0		Bilateria	pre2R_ancient	HGNC:25821	False	False	False		after_R2
ZNF672	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0006	0		Bilateria	pre2R_ancient	HGNC:26179	False	False	False		before_R1
ZNF692	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0006	0		Opisthokonta	pre2R_ancient	HGNC:26049	False	False	False		R1_to_R2
ZNF771	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0010	0		Bilateria	pre2R_ancient	HGNC:29653	False	False	False		before_R1
ZNF775	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0027	0		Bilateria	pre2R_ancient	HGNC:28501	False	False	False		before_R1
ZNF784	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	HGNC:33111	False	False	False		after_R2
ZNF837	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0020	0		Bilateria	pre2R_ancient	HGNC:25164	False	False	False		R1_to_R2
ZNF865	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	HGNC:38705	False	False	False		before_R1
ZSCAN1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0064	0		Bilateria	pre2R_ancient	HGNC:23712	False	False	False		before_R1
ZSCAN12	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata	HGNC:13172	False	False	False		after_R2
ZSCAN16	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0065	0		Vertebrata	2R_vertebrata	HGNC:20813	False	False	False		after_R2
ZSCAN18	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0064	0		Bilateria	pre2R_ancient	HGNC:21037	False	False	False		before_R1
