gene	genomic_class	arrangement	provenance	dup_class4	TF_subfamily	in_lambert	hgnc_locus_type	is_ohnolog	is_ohnolog_relaxed	ohnolog_rescue_via_cluster	cluster_id	n_ohnolog_partners	ohnolog_dup_time	youngest_paralog_node	age_category	hgnc_id	is_dosage_sensitive	lineage	origin_window	is_IEI
AKAP8	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0			no_paralog_node	HGNC:378	False		R1_to_R2	False
AKAP8L	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0			no_paralog_node	HGNC:29857	False		R1_to_R2	False
FIZ1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	HGNC:25917	False		before_R1	False
REPIN1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0027	0			no_paralog_node	HGNC:17922	False		before_R1	False
WIZ	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0		Bilateria	pre2R_ancient	HGNC:30917	False		after_R2	False
ZBTB1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0003	0		Opisthokonta	pre2R_ancient	HGNC:20259	False		after_R2	False
ZBTB25	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0003	0		Bilateria	pre2R_ancient	HGNC:13112	False		after_R2	False
ZBTB26	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0004	0		Bilateria	pre2R_ancient	HGNC:23383	False		after_R2	False
ZBTB34	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0005	0		Bilateria	pre2R_ancient	HGNC:31446	False		after_R2	False
ZBTB43	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0005	0		Bilateria	pre2R_ancient	HGNC:17908	False		before_R1	False
ZBTB6	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0004	0		Bilateria	pre2R_ancient	HGNC:16764	False		after_R2	False
ZNF107	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0026	0		Bilateria	pre2R_ancient	HGNC:12887	False		before_R1	False
