cluster_id	dup_class4	chrom	n_members	members	elem_win	elem_body	elem_flank	elem_per_kb_window	elem_per_kb_body	elem_per_kb_flank	obs_exp_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	22	7	15	0.10081938665151322	0.3343842552784943	0.07603483409199202	3.391388431494336
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	3	0	3	0.012824349164279913	0.0	0.015	0.43138875212082206
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	8	3	5	0.02427000379218809	0.023143683702989394	0.025	0.8164006232021147
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	25	13	12	0.08784752480814101	0.15369336990447366	0.06	2.955037609974088
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	9	2	7	0.03932208721638945	0.06925447557048374	0.035	1.322726472725203
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	18	3	15	0.07919642032180146	0.10995858226734596	0.075	2.66402953455271
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	40	14	26	0.15810151698405545	0.2641409758122335	0.13	5.318259448996392
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	33	6	27	0.1477481833689272	0.25692630497152397	0.135	4.969991352790707
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	9	0	9	0.0415418487969019	0.0	0.045	1.397395383089106
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	24	10	14	0.07136336739942968	0.07336380376649769	0.07	2.400539287820328
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	45	35	10	0.05519989107221495	0.056890310604841524	0.05	1.8568281182778599
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	28	10	18	0.1059538495303974	0.1556032738928827	0.09	3.564102813000877
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	35	8	27	0.11801558480094142	0.08284060432220854	0.135	3.9698385630274444
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	33	3	30	0.14782495733234186	0.1291044454964066	0.15	4.972573895097421
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	31	15	16	0.11530636156355427	0.2178680881349039	0.08	3.878705015693247
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	25	10	15	0.06601583851997771	0.055960648471994494	0.075	2.2206577374440934
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	14	2	12	0.04922609545643139	0.023696120945001304	0.06	1.6558800465195214
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	19	3	16	0.08382118734917701	0.11247328759419639	0.08	2.8195986360511314
