cluster_id	dup_class4	chrom	n_members	members	n_pair_enh_elem	ctcf_mean_pair_enh	ctcf_max_pair_enh	n_pair_prom_elem	ctcf_mean_pair_prom	n_shared_enh	ctcf_mean_shared_enh	n_win_elem	ctcf_mean_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	20	6.419924999999999	27.9783	2	7.3763	15	4.753713333333334	35	5.849434285714286
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	nan	nan	0	nan	0	nan	14	5.386592857142857
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	nan	nan	0	nan	0	nan	5	14.44286
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	20	5.089515	36.63	2	2.09465	16	5.9905625	23	5.5171782608695645
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	13	9.73166153846154	28.8384	1	19.1452	0	nan	22	7.484377272727272
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	14	6.3182142857142845	46.4066	2	2.4173	13	6.72246923076923	15	3.8868533333333333
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	26	6.477238461538462	34.744	2	4.2225	14	5.1917928571428575	44	4.786972727272727
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	18	8.452933333333332	34.3271	2	4.02335	18	8.452933333333332	31	6.609303225806452
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	nan	nan	0	nan	0	nan	8	15.543375
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	33	4.628036363636363	28.4814	4	1.4696	20	4.6515699999999995	27	5.8688259259259254
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	30	7.5885233333333355	37.5901	2	0.8089	5	1.03314	46	6.184363043478259
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	19	10.84907894736842	39.4417	1	1.1923	0	nan	23	8.008152173913043
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	30	5.036486666666667	26.2189	3	7.663699999999999	16	4.82544375	29	3.1728827586206894
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	29	5.807889655172414	32.129	2	1.18755	18	6.5666166666666665	43	5.359576744186047
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	36	9.22008611111111	38.1895	6	2.3844333333333334	27	10.121662962962963	42	8.75279761904762
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	22	10.549986363636366	38.1895	1	0.7525	0	nan	25	7.885784
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	14	7.77537857142857	34.8603	1	1.9619	0	nan	15	8.241933333333332
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	20	3.129095	26.2476	2	3.3225	16	3.61441875	25	2.318616
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	42	2.3932571428571427	30.1712	4	1.4960499999999999	24	2.1417375	57	2.7895491228070175
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	nan	nan	0	nan	0	nan	1	0.9622
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	14	5.172942857142857	27.432	2	1.3821500000000002	10	4.068309999999999	19	2.7532157894736846
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	26	7.4450692307692306	33.3228	2	6.3622000000000005	11	5.415418181818182	17	5.176047058823529
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	0	nan	nan	0	nan	0	nan	0	nan
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	22	2.193790909090909	6.1888	2	1.6269	13	1.9162153846153847	14	2.9026
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	27	3.964385185185186	28.7909	2	3.86465	1	0.4899	36	4.99886388888889
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	17	6.439229411764706	31.2842	2	2.4213	14	6.882642857142856	36	7.725924999999999
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	0	nan	nan	0	nan	0	nan	2	23.387999999999998
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	17	2.6527529411764705	23.3392	2	2.90505	7	4.7329	14	4.6121357142857144
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	20	6.715675	29.9337	2	19.536	9	2.174855555555555	20	9.258004999999997
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	20	5.67855	22.7784	1	0.6156	0	nan	26	5.251203846153846
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	0	nan	nan	0	nan	0	nan	20	7.440544999999998
clust0034	clustered_cis_ohnolog	chr1	2	FOXE3,FOXD2	0	nan	nan	0	nan	0	nan	12	6.357008333333333
clust0030	clustered_cis_ohnolog	chr1	2	ETV3L,ETV3	9	12.677333333333332	32.7149	1	1.3735	0	nan	13	9.461492307692307
clust0039	clustered_cis_ohnolog	chr1	2	PBX1,LMX1A	0	nan	nan	0	nan	0	nan	3	13.198766666666666
clust0040	clustered_cis_ohnolog	chr10	2	TLX1,LBX1	0	nan	nan	0	nan	0	nan	22	14.495740909090909
clust0041	clustered_cis_ohnolog	chr10	2	HMX3,HMX2	0	nan	nan	0	nan	0	nan	8	7.770725
clust0031	clustered_cis_ohnolog	chr11	2	ELF5,EHF	0	nan	nan	0	nan	0	nan	3	1.8158333333333336
clust0032	clustered_cis_ohnolog	chr11	2	ETS1,FLI1	49	2.596487755102041	23.7999	2	0.9966999999999999	3	1.8214666666666666	52	2.5246173076923077
clust0007	clustered_cis_ohnolog	chr12	2	SP7,SP1	23	6.989352173913043	28.2756	1	1.8101	0	nan	51	7.7358392156862745
clust0076	clustered_cis_ohnolog	chr12	2	AC023509.3,ATF7	17	3.179935294117647	10.7674	1	1.1448	0	nan	33	8.75618484848485
clust0071	clustered_cis_ohnolog	chr12	2	MYF6,MYF5	0	nan	nan	0	nan	0	nan	0	nan
clust0069	clustered_cis_ohnolog	chr12	2	TBX5,TBX3	0	nan	nan	0	nan	0	nan	1	13.1106
clust0043	clustered_cis_ohnolog	chr13	3	GSX1,PDX1,CDX2	0	nan	nan	0	nan	0	nan	7	1.0901999999999998
