cluster_id	dup_class4	chrom	n_members	members	elem_win	elem_body	elem_flank	elem_per_kb_window	elem_per_kb_body	elem_per_kb_flank	obs_exp_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	22	5	17	0.10081938665151322	0.23884589662749592	0.08617281197092429	3.3543482843039687
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	5	0	5	0.021373915273799855	0.0	0.025	0.7111286669035973
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	4	1	3	0.012135001896094046	0.007714561234329798	0.015	0.4037420196860275
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	26	15	11	0.09136142580046665	0.17733850373593113	0.055	3.0396737379949132
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	10	2	8	0.0436912080182105	0.06925447557048374	0.04	1.4536443190398294
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	16	2	14	0.07039681806382352	0.07330572151156398	0.07	2.3421630872349772
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	45	15	30	0.1778642066070624	0.28300818837025016	0.15	5.917696150381526
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	29	6	23	0.1298393126575421	0.25692630497152397	0.115	4.319866348259479
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	8	0	8	0.03692608781946836	0.0	0.04	1.2285629127206388
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	23	10	13	0.06838989375778678	0.07336380376649769	0.065	2.2753909779585
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	48	33	15	0.05887988381036261	0.05363943571313629	0.075	1.9589847131483464
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	19	4	15	0.07189725503848395	0.062241309557153075	0.075	2.392083924474894
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	36	9	27	0.12138745865239689	0.0931956798624846	0.135	4.03866584781068
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	35	3	32	0.1567840456555141	0.1291044454964066	0.16	5.216340944114594
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	39	21	18	0.14506284196705213	0.30501532338886544	0.09	4.82636634906701
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	22	8	14	0.05809393789758039	0.04476851877759559	0.07	1.9328356121504464
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	12	1	11	0.04219379610551262	0.011848060472500652	0.055	1.4038241282305346
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	23	5	18	0.10146775310689848	0.18745547932366063	0.09	3.3759199976366365
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	51	42	9	0.08786740636091107	0.11040428999526838	0.045	2.923424686084796
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	2	0	2	0.008114314462142665	0.0	0.01	0.26997026760807624
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	18	8	10	0.0721402406277804	0.1615704649190128	0.05	2.40016826541008
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	25	11	14	0.07841685774241003	0.09258557853361278	0.07	2.608996751170113
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	0	0	0	0.0	0.0	0.0	0.0
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	12	4	8	0.03264577699669734	0.023868911935649415	0.04	1.0861532657121962
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	27	9	18	0.053264733617148875	0.02932532208978762	0.09	1.7721638045683308
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	35	5	30	0.15188269448579028	0.1642521599159029	0.15	5.053268747060244
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	0	0	0	0.0	0.0	0.0	0.0
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	20	2	18	0.08950307890591437	0.08526603001364257	0.09	2.9778449278382957
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	15	5	10	0.05340510980090575	0.06182609555841329	0.05	1.776834241740991
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	18	12	6	0.04825698452827457	0.06936295902383197	0.03	1.6055516566234875
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	16	3	13	0.0469388533424864	0.02129638174474157	0.065	1.5616962908214804
clust0034	clustered_cis_ohnolog	chr1	2	FOXE3,FOXD2	14	8	6	0.06238692370079231	0.3277882487912808	0.03	2.075666966732279
clust0030	clustered_cis_ohnolog	chr1	2	ETV3L,ETV3	12	2	10	0.048695172279461595	0.043074669940341585	0.05	1.620130542492708
clust0039	clustered_cis_ohnolog	chr1	2	PBX1,LMX1A	5	0	5	0.004994351388579517	0.0	0.025	0.1661663948561762
clust0040	clustered_cis_ohnolog	chr10	2	TLX1,LBX1	19	0	19	0.06372353377179596	0.0	0.095	2.1201371410446046
clust0041	clustered_cis_ohnolog	chr10	2	HMX3,HMX2	10	2	8	0.04657618466525696	0.13603591348115904	0.04	1.5496299899279795
clust0031	clustered_cis_ohnolog	chr11	2	ELF5,EHF	3	1	2	0.007802401579206079	0.005420142332937663	0.01	0.25959265593556025
clust0032	clustered_cis_ohnolog	chr11	2	ETS1,FLI1	56	51	5	0.10099079180387589	0.14386216312276803	0.025	3.3600510821273275
clust0007	clustered_cis_ohnolog	chr12	2	SP7,SP1	46	12	34	0.15869127991416873	0.13352471876356112	0.17	5.2797962792020545
clust0076	clustered_cis_ohnolog	chr12	2	AC023509.3,ATF7	33	12	21	0.10321563623056497	0.10023471629398843	0.105	3.4340735824952735
clust0071	clustered_cis_ohnolog	chr12	2	MYF6,MYF5	0	0	0	0.0	0.0	0.0	0.0
clust0069	clustered_cis_ohnolog	chr12	2	TBX5,TBX3	2	2	0	0.0037717061690026098	0.006055761451444905	0.0	0.12548792982269852
clust0043	clustered_cis_ohnolog	chr13	3	GSX1,PDX1,CDX2	0	0	0	0.0	0.0	0.0	0.0
clust0008	clustered_cis_ohnolog	chr13	2	KLF5,KLF12	51	45	6	0.03986156313602641	0.04168874626190908	0.03	1.32622871806568
clust0009	clustered_cis_ohnolog	chr13	2	ZIC5,ZIC2	0	0	0	0.0	0.0	0.0	0.0
clust0044	clustered_cis_ohnolog	chr14	2	NKX2-1,NKX2-8	6	3	3	0.02253758141701287	0.0453021654435082	0.015	0.7498448470017889
