cluster_id	dup_class4	chrom	n_members	members	n_pair_enh_elem	ctcf_mean_pair_enh	ctcf_max_pair_enh	n_pair_prom_elem	ctcf_mean_pair_prom	n_shared_enh	ctcf_mean_shared_enh	n_win_elem	ctcf_mean_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	17	4.9220235294117645	18.7934	2	6.02025	13	4.746369230769231	22	6.533986363636364
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	nan	nan	0	nan	0	nan	6	9.107183333333333
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	nan	nan	0	nan	0	nan	4	13.279025
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	21	5.229723809523809	30.2168	2	1.7103000000000002	18	5.915983333333333	30	4.525683333333332
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	16	7.8807375	32.7632	1	24.4889	0	nan	12	12.412633333333332
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	22	3.5929636363636366	26.4882	2	1.4164	19	3.6864789473684216	18	3.591755555555556
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	25	4.79438	29.0006	2	3.7281500000000003	14	4.689057142857143	47	4.551265957446808
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	23	5.964391304347825	27.8001	2	3.2746500000000003	23	5.964391304347825	31	5.857583870967742
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	nan	nan	0	nan	0	nan	8	6.5793125
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	27	4.390948148148148	25.2066	3	0.9333999999999999	23	4.858430434782609	18	7.0945277777777775
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	34	6.097264705882353	34.7819	2	0.66665	1	1.2963	54	5.281951851851851
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	22	11.72537272727273	39.6691	1	1.2741	0	nan	20	9.71254
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	31	5.915022580645163	32.7756	3	4.008866666666666	15	7.080533333333334	38	2.2257394736842104
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	28	5.7057214285714295	30.896	2	1.4961	20	4.692215	35	5.352945714285714
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	30	9.020166666666665	41.5951	6	2.7881	23	11.267095652173913	40	8.679547500000002
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	20	11.64265	41.5951	1	1.2242	0	nan	25	8.817068
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	20	9.48966	39.3806	1	0.9479	0	nan	13	7.120338461538461
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	21	4.093533333333333	28.974	2	2.2324	17	4.749258823529412	25	1.979956
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	46	1.1906978260869565	5.5464	4	1.7026250000000003	25	1.3300640000000001	54	2.6957796296296297
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	nan	nan	0	nan	0	nan	2	1.3860000000000001
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	13	5.1533	29.1159	2	3.0956	10	5.55016	15	3.0609466666666667
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	21	5.258347619047619	29.1159	3	6.4193	11	5.898154545454545	22	5.260977272727272
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	16	8.068775	27.9301	1	0.1349	0	nan	3	9.461766666666666
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	20	2.913565	10.5216	2	1.85025	11	2.8622454545454548	12	3.3075500000000004
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	19	4.440884210526316	26.2537	2	1.1311	2	2.54945	30	6.382833333333334
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	22	5.113190909090909	28.0162	2	2.91995	14	6.611071428571429	35	6.658068571428571
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	6	1.6579833333333334	3.1346	1	0.1349	0	nan	9	4.137388888888889
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	20	3.4107350000000003	25.8975	2	1.2326000000000001	14	4.459185714285715	22	3.806604545454546
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	22	5.995027272727271	35.3251	2	21.244750000000003	7	1.3841999999999999	17	9.776076470588235
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	16	7.523606249999999	23.3567	1	0.1349	0	nan	18	8.665061111111111
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	0	nan	nan	0	nan	0	nan	17	7.910782352941177
clust0034	clustered_cis_ohnolog	chr1	2	FOXE3,FOXD2	0	nan	nan	0	nan	0	nan	12	9.56255
clust0030	clustered_cis_ohnolog	chr1	2	ETV3L,ETV3	9	15.845066666666668	43.5154	1	2.1558	0	nan	15	12.603306666666665
clust0039	clustered_cis_ohnolog	chr1	2	PBX1,LMX1A	9	8.447822222222221	39.1872	1	0.3902	0	nan	5	15.06302
clust0040	clustered_cis_ohnolog	chr10	2	TLX1,LBX1	0	nan	nan	0	nan	0	nan	19	13.8307
clust0041	clustered_cis_ohnolog	chr10	2	HMX3,HMX2	0	nan	nan	0	nan	0	nan	11	7.956563636363637
clust0031	clustered_cis_ohnolog	chr11	2	ELF5,EHF	0	nan	nan	0	nan	0	nan	4	7.324325
clust0032	clustered_cis_ohnolog	chr11	2	ETS1,FLI1	42	1.8709690476190475	18.7662	2	1.1684999999999999	0	nan	57	1.7529403508771928
clust0007	clustered_cis_ohnolog	chr12	2	SP7,SP1	20	8.659455	38.1399	1	1.4738	0	nan	51	7.652125490196079
clust0076	clustered_cis_ohnolog	chr12	2	AC023509.3,ATF7	8	13.616475	40.4878	1	0.7959	0	nan	32	8.59119375
clust0071	clustered_cis_ohnolog	chr12	2	MYF6,MYF5	0	nan	nan	0	nan	0	nan	1	0.719
clust0069	clustered_cis_ohnolog	chr12	2	TBX5,TBX3	0	nan	nan	0	nan	0	nan	2	18.7105
clust0043	clustered_cis_ohnolog	chr13	3	GSX1,PDX1,CDX2	0	nan	nan	0	nan	0	nan	1	0.9056
clust0008	clustered_cis_ohnolog	chr13	2	KLF5,KLF12	38	3.340436842105263	21.9058	2	2.7150499999999997	1	1.2243	36	2.3838666666666666
clust0009	clustered_cis_ohnolog	chr13	2	ZIC5,ZIC2	0	nan	nan	0	nan	0	nan	0	nan
clust0044	clustered_cis_ohnolog	chr14	2	NKX2-1,NKX2-8	0	nan	nan	0	nan	0	nan	0	nan
clust0045	clustered_cis_ohnolog	chr14	3	SIX6,SIX1,SIX4	10	8.23048	31.1138	1	0.6936	0	nan	8	4.405325
clust0077	clustered_cis_ohnolog	chr14	3	FOS,JDP2,BATF	50	3.1576459999999997	23.6231	3	1.9252000000000002	16	2.0715624999999998	58	4.418670689655172
clust0046	clustered_cis_ohnolog	chr16	3	IRX3,IRX5,IRX6	19	4.571747368421053	16.3753	2	0.9978499999999999	6	0.8647333333333332	5	0.66558
clust0012	clustered_cis_ohnolog	chr16	2	ZNF469,ZFPM1	17	3.951199999999999	25.2389	1	0.0	0	nan	28	3.653271428571429
clust0057	clustered_cis_ohnolog	chr17	2	THRA,NR1D1	26	10.827615384615386	39.002	2	2.7123999999999997	15	7.386573333333334	43	8.785602325581396
clust0067	clustered_cis_ohnolog	chr17	3	STAT5B,STAT5A,STAT3	34	4.356608823529412	49.5261	3	1.7954999999999999	18	1.982422222222222	66	5.046927272727274
clust0013	clustered_cis_ohnolog	chr17	2	SP6,SP2	13	14.059107692307693	39.1955	1	4.828	0	nan	40	10.589504999999999
clust0047	clustered_cis_ohnolog	chr17	2	DLX4,DLX3	0	nan	nan	0	nan	0	nan	15	18.255513333333333
clust0070	clustered_cis_ohnolog	chr17	2	TBX2,TBX4	0	nan	nan	0	nan	0	nan	8	13.2857875
clust0056	clustered_cis_ohnolog	chr19	2	MEF2B,BORCS8-MEF2B	17	14.664970588235295	50.1439	1	2.9197	0	nan	25	13.50276
clust0017	clustered_cis_ohnolog	chr19	3	ZNF536,TSHZ3,ZNF507	23	5.731717391304348	23.2389	2	2.3552	0	nan	20	5.258075
clust0078	clustered_cis_ohnolog	chr19	2	CEBPA,CEBPG	14	8.691507142857143	36.2522	1	3.0487	0	nan	12	11.464583333333332
clust0048	clustered_cis_ohnolog	chr19	2	TPRX1,CRX	0	nan	nan	0	nan	0	nan	24	12.4880625
clust0049	clustered_cis_ohnolog	chr2	2	SIX3,SIX2	0	nan	nan	0	nan	0	nan	0	nan
clust0050	clustered_cis_ohnolog	chr2	2	DLX1,DLX2	0	nan	nan	0	nan	0	nan	8	8.816762500000001
clust0068	clustered_cis_ohnolog	chr2	2	STAT1,STAT4	37	4.911516216216217	29.9171	2	3.02995	6	1.4866166666666665	59	4.90082372881356
clust0051	clustered_cis_ohnolog	chr20	2	NKX2-4,NKX2-2	0	nan	nan	0	nan	0	nan	20	7.54397
clust0021	clustered_cis_ohnolog	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	61	4.117206557377049	35.6405	3	8.670233333333334	2	0.5626	54	4.50449074074074
clust0033	clustered_cis_ohnolog	chr21	2	ERG,ETS2	9	7.029377777777778	29.4833	1	5.6699	0	nan	13	6.481807692307692
clust0022	clustered_cis_ohnolog	chr22	2	ZNF280B,ZNF280A	0	nan	nan	0	nan	0	nan	0	nan
clust0058	clustered_cis_ohnolog	chr3	3	NR1D2,THRB,RARB	12	4.9324916666666665	24.1434	1	1.0155	0	nan	18	8.72755
clust0023	clustered_cis_ohnolog	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	15	6.308453333333333	22.1769	2	1.4973	9	7.515633333333333	11	3.1734272727272734
clust0024	clustered_cis_ohnolog	chr3	2	ZIC4,ZIC1	0	nan	nan	0	nan	0	nan	0	nan
clust0052	clustered_cis_ohnolog	chr5	3	IRX4,IRX2,IRX1	0	nan	nan	0	nan	0	nan	6	2.3660333333333337
clust0036	clustered_cis_ohnolog	chr6	3	FOXQ1,FOXF2,FOXC1	0	nan	nan	0	nan	0	nan	14	12.411657142857146
clust0001	clustered_cis_ohnolog	chr6	2	TFAP2D,TFAP2B	0	nan	nan	0	nan	0	nan	0	nan
clust0025	clustered_cis_ohnolog	chr7	2	SP8,SP4	17	2.2302235294117647	13.2792	1	2.9431	0	nan	28	3.7770250000000005
clust0053	clustered_cis_ohnolog	chr7	2	DLX6,DLX5	0	nan	nan	0	nan	0	nan	4	12.326325
clust0054	clustered_cis_ohnolog	chr8	2	NKX3-1,NKX2-6	0	nan	nan	0	nan	0	nan	0	nan
clust0028	clustered_cis_ohnolog	chr8	4	ZFP41,AC138696.1,GLI4,ZNF696	26	8.963446153846153	31.4955	3	3.478533333333333	16	9.984762499999999	28	7.5538
clust0059	clustered_cis_ohnolog	chr9	2	NR5A1,NR6A1	15	8.692826666666665	39.9239	1	4.9198	0	nan	20	11.711490000000001
