cluster_id	dup_class4	chrom	n_members	members	n_links_total	n_distinct_elem_total	n_enhancer_elem_min	n_enhancer_elem_max	n_enhancer_elem_sum	n_shared_enhancer_any	n_shared_enhancer_in_window	shared_frac	mean_open_enh	per_member
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	37	22	15	20	35	15	15	0.6818181818181818	11.277469166666668	ZNF672:links=21,enh=20;ZNF692:links=16,enh=15
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	0	0	0	0	0	0	nan	nan	NANOGNB:links=0,enh=0;NANOG:links=0,enh=0
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	0	0	0	0	0	0	nan	nan	SOHLH2:links=0,enh=0;CCDC169-SOHLH2:links=0,enh=0
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	38	22	17	19	36	16	9	0.7272727272727273	10.193045201238391	ZBTB25:links=20,enh=19;ZBTB1:links=18,enh=17
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	14	14	0	13	13	0	0	0.0	8.729476923076923	MESP1:links=14,enh=13;MESP2:links=0,enh=0
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	29	16	13	14	27	13	5	0.8125	14.874039285714282	ZSCAN32:links=14,enh=13;ZNF174:links=15,enh=14
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	42	28	15	25	40	14	14	0.5	11.140568666666667	ZNF48:links=16,enh=15;ZNF771:links=26,enh=25
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	38	20	18	18	36	18	13	0.9	9.442833333333333	ZNF668:links=19,enh=18;ZNF646:links=19,enh=18
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	0	0	0	0	0	0	nan	nan	FOXC2:links=0,enh=0;FOXL1:links=0,enh=0
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	82	37	18	22	78	20	13	0.5405405405405406	13.475001428761297	ZNF397:links=20,enh=19;ZSCAN30:links=19,enh=18;ZNF24:links=23,enh=22;ZNF396:links=20,enh=19
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	37	32	11	24	35	5	5	0.15625	10.539588825757576	ZNF516:links=12,enh=11;ZNF236:links=25,enh=24
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	20	20	0	19	19	0	0	0.0	14.46431052631579	ZNF788:links=0,enh=0;ZNF625:links=20,enh=19
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	58	33	16	22	55	16	13	0.48484848484848486	11.146953019162211	AKAP8:links=23,enh=22;AKAP8L:links=17,enh=16;WIZ:links=18,enh=17
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	49	31	23	24	47	18	13	0.5806451612903226	9.559521195652174	ZNF576:links=25,enh=24;ZNF428:links=24,enh=23
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	125	42	16	22	119	27	23	0.6428571428571429	9.49792054834055	ZNF579:links=23,enh=22;FIZ1:links=21,enh=20;ZNF865:links=21,enh=20;ZNF784:links=22,enh=21;ZNF580:links=21,enh=20;ZNF581:links=17,enh=16
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	23	23	0	22	22	0	0	0.0	12.077	ZSCAN5B:links=0,enh=0;ZSCAN5C:links=0,enh=0;ZSCAN5A:links=23,enh=22
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	15	15	0	14	14	0	0	0.0	14.472664285714288	ZSCAN1:links=0,enh=0;ZSCAN18:links=15,enh=14
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	38	22	17	19	36	16	9	0.7272727272727273	10.72355371517028	ZNF497:links=18,enh=17;ZNF837:links=20,enh=19
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	96	46	19	32	92	24	24	0.5217391304347826	12.060189306860902	SP110:links=21,enh=20;SP140:links=20,enh=19;SP140L:links=22,enh=21;SP100:links=33,enh=32
