cluster_id	family	parent_DBD_family	chrom	n_members	members	member_strands	member_tss	member_starts	member_ends	cluster_start	cluster_end	span_bp	n_lncRNAs_between	lncRNAs_between
clust0001	AP-2	AP-2	chr6	2	TFAP2D,TFAP2B	+,+	50713526,50818723	50713526,50818723	50773033,50847619	50713526	50847619	134093	0	
clust0002	BTB-ZNF	C2H2 ZF	chr1	2	ZBTB8B,ZBTB8A	+,+	32465072,32539427	32465072,32539427	32496686,32605941	32465072	32605941	140869	0	
clust0003	BTB-ZNF	C2H2 ZF	chr14	2	ZBTB25,ZBTB1	-,+	64505213,64503712	64449106,64503712	64505213,64533690	64449106	64533690	84584	0	
clust0004	BTB-ZNF	C2H2 ZF	chr9	2	ZBTB6,ZBTB26	-,-	122913323,122931512	122908056,122915566	122913323,122931512	122908056	122931512	23456	0	
clust0005	BTB-ZNF	C2H2 ZF	chr9	2	ZBTB43,ZBTB34	+,+	126805006,126860639	126805006,126860639	126838210,126885878	126805006	126885878	80872	0	
clust0006	C2H2 ZF (other)	C2H2 ZF	chr1	2	ZNF672,ZNF692	+,-	248838210,248859144	248838210,248850006	248849517,248859144	248838210	248859144	20934	0	
clust0007	C2H2 ZF (other)	C2H2 ZF	chr12	2	SP7,SP1	-,+	53345315,53380176	53326575,53380176	53345315,53416446	53326575	53416446	89871	0	
clust0008	C2H2 ZF (other)	C2H2 ZF	chr13	2	KLF5,KLF12	+,-	73054976,74134404	73054976,73686089	73077541,74134404	73054976	74134404	1079428	2	LINC00392,LINC00393
clust0009	C2H2 ZF (other)	C2H2 ZF	chr13	2	ZIC5,ZIC2	-,+	99971767,99981784	99962964,99981784	99971767,99986765	99962964	99986765	23801	1	ENSG00000288060
clust0010	C2H2 ZF (other)	C2H2 ZF	chr16	2	ZNF48,ZNF771	+,+	30378106,30407414	30378106,30407414	30400108,30431108	30378106	30431108	53002	0	
clust0011	C2H2 ZF (other)	C2H2 ZF	chr16	2	ZNF668,ZNF646	-,+	31074240,31074422	31060843,31074422	31074240,31084196	31060843	31084196	23353	0	
clust0012	C2H2 ZF (other)	C2H2 ZF	chr16	2	ZNF469,ZFPM1	+,+	88382959,88453280	88382959,88453280	88440757,88537031	88382959	88537031	154072	0	
clust0013	C2H2 ZF (other)	C2H2 ZF	chr17	2	SP6,SP2	-,+	47855874,47896150	47844908,47896150	47855874,47928957	47844908	47928957	84049	3	ENSG00000264243,ENSG00000266821,SP2-DT
