cluster_id	dup_class4	chrom	n_members	members	n_pair_enh_elem	ctcf_mean_pair_enh	ctcf_max_pair_enh	n_pair_prom_elem	ctcf_mean_pair_prom	n_shared_enh	ctcf_mean_shared_enh	n_win_elem	ctcf_mean_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	18	7.206455555555556	27.145	2	6.4355	14	4.971878571428571	26	7.9767807692307695
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	nan	nan	0	nan	0	nan	7	11.826057142857142
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	nan	nan	0	nan	0	nan	5	11.36552
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	21	5.310799999999999	37.5725	2	2.96515	14	5.9020714285714275	29	4.394886206896552
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	18	10.12811111111111	40.6399	1	16.8589	0	nan	15	10.45154
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	22	3.0017272727272726	19.1773	2	1.27245	21	3.116904761904762	20	4.126605
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	26	3.9163038461538457	20.7997	2	4.49865	16	3.5737875	45	4.3833022222222215
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	24	6.387787500000001	28.8644	2	4.709149999999999	24	6.387787500000001	32	5.324684375
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	nan	nan	0	nan	0	nan	9	12.006111111111112
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	40	4.419005	31.9953	4	1.67665	22	5.544518181818183	26	6.102884615384616
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	37	6.013394594594595	40.8944	2	0.9140999999999999	3	0.5991333333333333	53	6.778062264150943
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	19	13.407152631578947	45.9978	1	1.5791	0	nan	22	8.286504545454546
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	40	4.344685	35.8912	3	4.799666666666667	19	5.340473684210525	38	2.199726315789473
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	32	4.53166875	25.8064	2	2.20805	22	4.706895454545455	34	5.278776470588235
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	43	10.765509302325581	37.3157	6	3.604083333333333	26	11.200776923076923	38	9.182913157894735
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	23	10.698960869565218	39.0106	1	0.8316	0	nan	26	8.277338461538461
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	16	8.62985625	39.0106	1	0.8399	0	nan	15	6.4940066666666665
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	22	8.137127272727273	39.0106	2	2.93535	14	4.323707142857143	28	2.4006000000000003
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	46	0.9669695652173914	2.938	4	1.260825	29	0.9626275862068966	64	2.5885546875
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	nan	nan	0	nan	0	nan	3	1.4123333333333334
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	19	5.371973684210525	28.8636	2	1.88305	9	3.3898333333333333	17	2.8583
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	25	5.095272	28.8636	3	8.322000000000001	12	6.265566666666667	27	4.301418518518518
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	0	nan	nan	0	nan	0	nan	0	nan
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	21	3.8289904761904756	18.4952	2	1.1155	15	4.1899	18	7.205311111111111
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	16	4.6947375000000005	33.0852	1	2.2735	0	nan	19	7.993005263157896
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	26	3.8595307692307697	26.0433	2	1.87195	16	4.9149125	44	6.315934090909092
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	0	nan	nan	0	nan	0	nan	1	1.2588
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	19	4.029442105263159	22.0897	2	2.01785	14	4.5064785714285716	17	5.301164705882353
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	21	5.908338095238095	34.6719	2	24.0001	6	1.0401166666666666	22	10.248336363636362
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	22	5.6402090909090905	23.1532	1	0.0	0	nan	19	7.036547368421052
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	15	10.539973333333332	49.5011	1	1.3774	0	nan	21	8.55384761904762
clust0034	clustered_cis_ohnolog	chr1	2	FOXE3,FOXD2	15	11.668526666666667	34.7397	1	30.7097	0	nan	17	9.810494117647057
clust0030	clustered_cis_ohnolog	chr1	2	ETV3L,ETV3	10	15.825669999999999	40.0286	1	0.582	0	nan	13	12.184530769230767
