cluster_id	dup_class4	chrom	n_members	members	n_links_total	n_distinct_elem_total	n_enhancer_elem_min	n_enhancer_elem_max	n_enhancer_elem_sum	n_shared_enhancer_any	n_shared_enhancer_in_window	shared_frac	mean_open_enh	per_member
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	33	20	13	18	31	13	13	0.65	9.344238461538463	ZNF672:links=19,enh=18;ZNF692:links=14,enh=13
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	0	0	0	0	0	0	nan	nan	NANOGNB:links=0,enh=0;NANOG:links=0,enh=0
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	0	0	0	0	0	0	nan	nan	SOHLH2:links=0,enh=0;CCDC169-SOHLH2:links=0,enh=0
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	38	23	16	20	36	15	12	0.6521739130434783	8.493528125	ZBTB25:links=17,enh=16;ZBTB1:links=21,enh=20
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	0	0	0	0	0	0	0	nan	nan	MESP1:links=0,enh=0;MESP2:links=0,enh=0
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	33	18	15	16	31	15	8	0.8333333333333334	14.369244375000001	ZSCAN32:links=16,enh=15;ZNF174:links=17,enh=16
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	39	24	16	21	37	15	14	0.625	11.508174107142857	ZNF48:links=17,enh=16;ZNF771:links=22,enh=21
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	43	23	20	21	41	20	16	0.8695652173913043	8.67644119047619	ZNF668:links=21,enh=20;ZNF646:links=22,enh=21
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	0	0	0	0	0	0	nan	nan	FOXC2:links=0,enh=0;FOXL1:links=0,enh=0
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	83	33	18	23	79	21	10	0.6363636363636364	10.993221074879227	ZNF397:links=20,enh=19;ZSCAN30:links=20,enh=19;ZNF24:links=24,enh=23;ZNF396:links=19,enh=18
