gene	cls	ensembl_id	is_ohnolog_strict	is_ohnolog_interm	is_ohnolog_relaxed	n_ohnolog_partners	ohnolog_dup_time	youngest_node_rank	youngest_paralog_node	n_paralogs	has_2R_window_paralog	dup_mode	age_category
TFAP2D	clustered		True	True	True	3	Vertebrata	16.0	Vertebrata	4	True	WGD_ohnolog	2R_vertebrata
TFAP2B	clustered		True	True	True	3	Vertebrata	16.0	Vertebrata	1	True	WGD_ohnolog	2R_vertebrata
ZBTB8B	clustered		True	True	True	4	Vertebrata	15.0	Euteleostomi	1	True	WGD_ohnolog	2R_vertebrata
ZBTB8A	clustered		True	True	True	5	Vertebrata			0	False	WGD_ohnolog	no_paralog_node
ZBTB25	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
ZBTB1	clustered		False	False	False	0		19.0	Opisthokonta	36	False	tandem	pre2R_ancient
ZBTB6	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
ZBTB26	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
ZBTB43	clustered		False	False	False	0		18.0	Bilateria	4	False	tandem	pre2R_ancient
ZBTB34	clustered		False	False	False	0		18.0	Bilateria	36	False	tandem	pre2R_ancient
ZNF672	clustered		False	False	False	0		18.0	Bilateria	176	False	tandem	pre2R_ancient
ZNF692	clustered		False	False	False	0		19.0	Opisthokonta	36	False	tandem	pre2R_ancient
SP7	clustered		False	True	True	2	Vertebrata	18.0	Bilateria	22	False	WGD_ohnolog	pre2R_ancient
SP1	clustered		False	True	True	2	Vertebrata	18.0	Bilateria	3	False	WGD_ohnolog	pre2R_ancient
KLF5	clustered		False	False	False	0		18.0	Bilateria	22	False	tandem	pre2R_ancient
KLF12	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	22	False	WGD_ohnolog	pre2R_ancient
ZIC5	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
ZIC2	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	14	False	WGD_ohnolog	pre2R_ancient
ZNF48	clustered		False	False	False	0		18.0	Bilateria	36	False	tandem	pre2R_ancient
ZNF771	clustered		False	False	False	0		18.0	Bilateria	36	False	tandem	pre2R_ancient
ZNF668	clustered		False	False	False	0		18.0	Bilateria	4	False	tandem	pre2R_ancient
ZNF646	clustered		False	False	False	0		18.0	Bilateria	50	False	tandem	pre2R_ancient
ZNF469	clustered		False	False	False	0				0	False	tandem	no_paralog_node
ZFPM1	clustered		False	False	True	1	Vertebrata	16.0	Vertebrata	1	True	WGD_ohnolog	2R_vertebrata
SP6	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	22	False	WGD_ohnolog	pre2R_ancient
SP2	clustered		False	True	True	2	Vertebrata	18.0	Bilateria	3	False	WGD_ohnolog	pre2R_ancient
ZNF516	clustered		False	False	False	0		18.0	Bilateria	14	False	tandem	pre2R_ancient
ZNF236	clustered		False	False	False	0				0	False	tandem	no_paralog_node
ZNF788	clustered		False	False	False	0				0	False	tandem	no_paralog_node
ZNF625	clustered		False	False	False	0		18.0	Bilateria	50	False	tandem	pre2R_ancient
AKAP8	clustered		False	False	False	0				0	False	tandem	no_paralog_node
AKAP8L	clustered		False	False	False	0				0	False	tandem	no_paralog_node
WIZ	clustered		False	False	False	0		18.0	Bilateria	50	False	tandem	pre2R_ancient
ZNF536	clustered		False	False	False	0		18.0	Bilateria	14	False	tandem	pre2R_ancient
TSHZ3	clustered		True	True	True	2	Vertebrata			0	False	WGD_ohnolog	no_paralog_node
ZNF507	clustered		False	False	False	0		18.0	Bilateria	50	False	tandem	pre2R_ancient
ZNF576	clustered		False	False	False	0		18.0	Bilateria	29	False	tandem	pre2R_ancient
ZNF428	clustered		False	False	False	0				0	False	tandem	no_paralog_node
ZNF579	clustered		False	False	False	0		18.0	Bilateria	4	False	tandem	pre2R_ancient
FIZ1	clustered		False	False	False	0		18.0	Bilateria	2	False	tandem	pre2R_ancient
ZNF865	clustered		False	False	False	0		18.0	Bilateria	7	False	tandem	pre2R_ancient
ZNF784	clustered		False	False	False	0		18.0	Bilateria	50	False	tandem	pre2R_ancient
ZNF580	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
ZNF581	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
ZNF497	clustered		False	False	False	0		18.0	Bilateria	36	False	tandem	pre2R_ancient
ZNF837	clustered		False	False	False	0		18.0	Bilateria	38	False	tandem	pre2R_ancient
SALL4	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	14	False	WGD_ohnolog	pre2R_ancient
ZFP64	clustered		False	False	False	0		18.0	Bilateria	1	False	tandem	pre2R_ancient
TSHZ2	clustered		True	True	True	2	Vertebrata			0	False	WGD_ohnolog	no_paralog_node
ZNF217	clustered		False	False	False	0		18.0	Bilateria	14	False	tandem	pre2R_ancient
