cluster_id	dup_class4	family	chrom	n_members	members	span_bp	win_len_bp	clipped	n_peaks_window	n_peaks_body	n_peaks_flank	peaks_per_kb_window	peaks_per_kb_body	peaks_per_kb_flank	obs_exp_window	nearest_peak_to_tss_min	nearest_peak_to_tss_mean	n_peaks_between_members	inter_member_tss_dist_bp	peaks_between_per_kb
clust0006	clustered_SSD_tandem	C2H2 ZF (other)	chr1	2	ZNF672,ZNF692	20934	218212	right	9	3	6	0.04124	0.14331	0.03041	3.157	402	2022.5	3	20934	0.14331
clust0042	clustered_SSD_tandem	Homeodomain	chr12	2	NANOGNB,NANOG	33930	233930	none	7	0	7	0.02992	0.0	0.035	2.2905	19251	30540.0	0	22578	0.0
clust0072	clustered_SSD_tandem	bHLH	chr13	2	SOHLH2,CCDC169-SOHLH2	129625	329625	none	4	3	1	0.01214	0.02314	0.005	0.9289	14542	37656.0	3	83254	0.03603
clust0003	clustered_SSD_tandem	BTB-ZNF	chr14	2	ZBTB25,ZBTB1	84584	284584	none	8	4	4	0.02811	0.04729	0.02	2.1518	6046	6796.5	0	1501	0.0
clust0073	clustered_SSD_tandem	bHLH	chr15	2	MESP1,MESP2	28879	228879	none	7	4	3	0.03058	0.13851	0.015	2.341	0	162.0	0	9342	0.0
clust0061	clustered_SSD_tandem	SCAN-ZNF	chr16	2	ZSCAN32,ZNF174	27283	227283	none	2	0	2	0.0088	0.0	0.01	0.6736	56883	56958.0	0	150	0.0
clust0010	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF48,ZNF771	53002	253002	none	9	4	5	0.03557	0.07547	0.025	2.7229	2225	4581.5	0	29308	0.0
clust0011	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF668,ZNF646	23353	223353	none	9	0	9	0.04029	0.0	0.045	3.0844	21618	21709.0	0	182	0.0
clust0035	clustered_SSD_tandem	Forkhead	chr16	2	FOXC2,FOXL1	16649	216649	none	3	0	3	0.01385	0.0	0.015	1.0599	2685	7454.5	0	9539	0.0
clust0062	clustered_SSD_tandem	SCAN-ZNF	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	136307	336307	none	9	1	8	0.02676	0.00734	0.04	2.0484	9375	21918.8	1	136307	0.00734
clust0014	clustered_SSD_tandem	C2H2 ZF (other)	chr18	2	ZNF516,ZNF236	615219	815219	none	22	14	8	0.02699	0.02276	0.04	2.0657	18452	53745.5	9	327315	0.0275
clust0015	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF788,ZNF625	64266	264266	none	9	4	5	0.03406	0.06224	0.025	2.6068	1421	8317.0	4	64266	0.06224
clust0016	clustered_SSD_tandem	C2H2 ZF (other)	chr19	3	AKAP8,AKAP8L,WIZ	96571	296571	none	4	2	2	0.01349	0.02071	0.01	1.0324	0	23312.7	2	70141	0.02851
clust0018	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF576,ZNF428	23237	223237	none	10	0	10	0.0448	0.0	0.05	3.4289	1335	3430.0	0	23237	0.0
clust0019	clustered_SSD_tandem	C2H2 ZF (other)	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	68849	268849	none	13	6	7	0.04835	0.08715	0.035	3.7013	728	7208.5	4	54611	0.07325
clust0063	clustered_SSD_tandem	SCAN-ZNF	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	178697	378697	none	15	9	6	0.03961	0.05036	0.03	3.0319	17539	24369.0	9	170568	0.05276
clust0064	clustered_SSD_tandem	SCAN-ZNF	chr19	2	ZSCAN1,ZSCAN18	84402	284402	none	4	0	4	0.01406	0.0	0.02	1.0766	36815	61443.0	0	84402	0.0
clust0020	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF497,ZNF837	26673	226673	none	1	0	1	0.00441	0.0	0.005	0.3377	20886	29977.0	0	18182	0.0
clust0060	clustered_SSD_tandem	SAND	chr2	4	SP110,SP140,SP140L,SP100	380420	580420	none	6	0	6	0.01034	0.0	0.03	0.7913	42505	117455.5	0	212832	0.0
clust0074	clustered_SSD_tandem	bHLH	chr21	2	OLIG2,OLIG1	46478	246478	none	8	0	8	0.03246	0.0	0.04	2.4844	31180	44277.5	0	44206	0.0
clust0065	clustered_SSD_tandem	SCAN-ZNF	chr6	2	ZNF165,ZSCAN16	49514	249514	none	5	2	3	0.02004	0.04039	0.015	1.5339	2697	13460.0	2	27121	0.07374
clust0066	clustered_SSD_tandem	SCAN-ZNF	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	118809	318809	none	8	5	3	0.02509	0.04208	0.015	1.9208	0	14503.3	5	87231	0.05732
clust0075	clustered_SSD_tandem	bHLH	chr7	2	TWIST1,FERD3L	124430	324430	none	1	1	0	0.00308	0.00804	0.0	0.2359	65659	79551.5	0	27785	0.0
clust0026	clustered_SSD_tandem	C2H2 ZF (other)	chr7	2	ZNF107,ZNF138	167582	367582	none	9	0	9	0.02448	0.0	0.045	1.8741	35291	64572.0	0	128289	0.0
clust0037	clustered_SSD_tandem	GTF2I-like	chr7	2	GTF2IRD1,GTF2I	306902	506902	none	9	4	5	0.01775	0.01303	0.025	1.359	3682	14206.0	4	196441	0.02036
clust0027	clustered_SSD_tandem	C2H2 ZF (other)	chr7	2	REPIN1,ZNF775	30441	230441	none	9	0	9	0.03906	0.0	0.045	2.9895	11581	11881.5	0	601	0.0
clust0029	clustered_SSD_tandem	DM	chr9	3	DMRT1,DMRT3,DMRT2	215862	415862	none	8	6	2	0.01924	0.0278	0.01	1.4725	22118	32542.3	6	208168	0.02882
clust0004	clustered_SSD_tandem	BTB-ZNF	chr9	2	ZBTB6,ZBTB26	23456	223456	none	6	0	6	0.02685	0.0	0.03	2.0553	59976	68897.0	0	18189	0.0
clust0005	clustered_SSD_tandem	BTB-ZNF	chr9	2	ZBTB43,ZBTB34	80872	280872	none	11	2	9	0.03916	0.02473	0.045	2.9978	51	11547.5	2	55633	0.03595
clust0055	clustered_SSD_tandem	Homeodomain	chrX	3	RHOXF2B,RHOXF1,RHOXF2	173003	373003	none	6	1	5	0.01609	0.00578	0.025	1.2313	5508	65657.7	1	167577	0.00597
clust0002	clustered_cis_ohnolog	BTB-ZNF	chr1	2	ZBTB8B,ZBTB8A	140869	340869	none	9	2	7	0.0264	0.0142	0.035	2.021	16554	17591.5	2	74355	0.0269
clust0034	clustered_cis_ohnolog	Forkhead	chr1	2	FOXE3,FOXD2	24406	224406	none	10	7	3	0.04456	0.28681	0.015	3.411	0	4144.5	7	21759	0.32171
clust0030	clustered_cis_ohnolog	Ets	chr1	2	ETV3L,ETV3	46431	246431	none	9	0	9	0.03652	0.0	0.045	2.7955	17717	19803.0	0	26062	0.0
clust0039	clustered_cis_ohnolog	Homeodomain	chr1	2	PBX1,LMX1A	801131	1001131	none	12	7	5	0.01199	0.00874	0.025	0.9175	10861	121395.0	7	801131	0.00874
clust0040	clustered_cis_ohnolog	Homeodomain	chr10	2	TLX1,LBX1	98163	298163	none	26	7	19	0.0872	0.07131	0.095	6.6747	9445	10282.0	7	98163	0.07131
