cluster_id	dup_class4	chrom	n_members	members	elem_win	elem_body	elem_flank	elem_per_kb_window	elem_per_kb_body	elem_per_kb_flank	obs_exp_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	27	5	22	0.12373288361776622	0.23884589662749592	0.11151775666825496	3.955488252103294
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	4	0	4	0.017099132219039883	0.0	0.02	0.5466244270400382
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	8	1	7	0.02427000379218809	0.007714561234329798	0.035	0.7758625845580652
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	19	6	13	0.06676411885418716	0.07093540149437245	0.065	2.1343128848881583
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	12	3	9	0.0524294496218526	0.1038817133557256	0.045	1.6760627084722866
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	26	5	21	0.11439482935371321	0.18326430377890993	0.105	3.6569696783903543
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	40	11	29	0.15810151698405545	0.20753933813818345	0.145	5.054183453785983
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	26	4	22	0.11640765962400325	0.17128420331434932	0.11	3.721315762105702
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	6	0	6	0.027694565864601266	0.0	0.03	0.8853388583663631
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	21	9	12	0.06244294647450097	0.06602742338984792	0.06	1.9961738059027903
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	36	24	12	0.04415991285777196	0.03901049870046276	0.06	1.41170246272141
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	13	5	8	0.049192858710541645	0.07780163694644135	0.04	1.5725954897973913
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	28	11	17	0.09441246784075313	0.11390583094303673	0.085	3.018174283805001
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	34	4	30	0.152304501493928	0.17213926066187546	0.15	4.868864676771984
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	35	18	17	0.1301846017653032	0.2614417057618847	0.085	4.161736539480958
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	25	16	9	0.06601583851997771	0.08953703755519118	0.045	2.1103918868098397
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	9	1	8	0.03164534707913447	0.011848060472500652	0.04	1.0116372862684557
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	34	5	29	0.14999580894063255	0.18745547932366063	0.145	4.795060478524338
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	38	23	15	0.06546983219048276	0.06045949214026602	0.075	2.0929371766410934
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	11	1	10	0.04462872954178466	0.02151555574680494	0.05	1.4266895771551997
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	12	5	7	0.0480934937518536	0.100981540574383	0.035	1.537451031414784
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	15	8	7	0.04705011464544601	0.06733496620626384	0.035	1.5040963266894456
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	0	0	0	0.0	0.0	0.0	0.0
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	22	12	10	0.05985059116061178	0.07160673580694825	0.05	1.9133014870045835
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	34	19	15	0.06707410899937266	0.06190901330066276	0.075	2.1442226383966667
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	31	4	27	0.13452467225884282	0.1314017279327223	0.135	4.30047975267179
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	8	2	6	0.019237150785597144	0.009265178678970825	0.03	0.6149725255852958
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	14	2	12	0.06265215523414006	0.08526603001364257	0.06	2.002861783801583
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	23	7	16	0.08188783502805548	0.08655653378177862	0.08	2.617787284779144
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	20	8	12	0.05361887169808286	0.046241972682554644	0.06	1.7140861094612663
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	27	9	18	0.07920931501544581	0.0638891452342247	0.09	2.5321604559756503
