id	ortholog	type	confidence	species	gene
ENSG00000007866	YBR083W	ortholog_one2many	0.0	scerevisiae	TEAD3
ENSG00000011332	YOR244W	ortholog_one2many	0.0	scerevisiae	DPF1
ENSG00000025156	YGL073W	ortholog_many2many	0.0	scerevisiae	HSF2
ENSG00000025156	YJR147W	ortholog_many2many	0.0	scerevisiae	HSF2
ENSG00000069812	YFR034C	ortholog_one2many	0.0	scerevisiae	HES2
ENSG00000074219	YBR083W	ortholog_one2many	0.0	scerevisiae	TEAD2
ENSG00000076108	YDL070W	ortholog_many2many	0.0	scerevisiae	BAZ2A
ENSG00000076108	YLR399C	ortholog_many2many	0.0	scerevisiae	BAZ2A
ENSG00000086102	YNL023C	ortholog_one2one	0.0	scerevisiae	NFX1
ENSG00000096401	YMR213W	ortholog_one2one	1.0	scerevisiae	CDC5L
ENSG00000099364	YJR090C	ortholog_one2many	0.0	scerevisiae	FBXL19
ENSG00000101057	YDR026C	ortholog_many2many	0.0	scerevisiae	MYBL2
ENSG00000101057	YBR049C	ortholog_many2many	0.0	scerevisiae	MYBL2
ENSG00000102145	YKR034W	ortholog_many2many	0.0	scerevisiae	GATA1
ENSG00000102145	YJL110C	ortholog_many2many	0.0	scerevisiae	GATA1
ENSG00000102878	YGL073W	ortholog_many2many	0.0	scerevisiae	HSF4
ENSG00000102878	YJR147W	ortholog_many2many	0.0	scerevisiae	HSF4
ENSG00000104447	YKR034W	ortholog_many2many	0.0	scerevisiae	TRPS1
ENSG00000104447	YJL110C	ortholog_many2many	0.0	scerevisiae	TRPS1
ENSG00000104885	YDR440W	ortholog_one2one	0.0	scerevisiae	DOT1L
ENSG00000107485	YKR034W	ortholog_many2many	0.0	scerevisiae	GATA3
ENSG00000107485	YJL110C	ortholog_many2many	0.0	scerevisiae	GATA3
ENSG00000111249	YKL179C	ortholog_one2many	0.0	scerevisiae	CUX2
ENSG00000112658	YMR043W	ortholog_one2many	0.0	scerevisiae	SRF
ENSG00000112658	YMR042W	ortholog_one2many	0.0	scerevisiae	SRF
ENSG00000114315	YFR034C	ortholog_one2many	0.0	scerevisiae	HES1
ENSG00000115966	YER045C	ortholog_many2many	0.0	scerevisiae	ATF2
ENSG00000115966	YIL036W	ortholog_many2many	0.0	scerevisiae	ATF2
ENSG00000115966	YNL167C	ortholog_many2many	0.0	scerevisiae	ATF2
ENSG00000117139	YJR119C	ortholog_one2many	0.0	scerevisiae	KDM5B
ENSG00000118513	YDR026C	ortholog_many2many	0.0	scerevisiae	MYB
ENSG00000118513	YBR049C	ortholog_many2many	0.0	scerevisiae	MYB
ENSG00000120738	YDL048C	ortholog_many2many	0.0	scerevisiae	EGR1
ENSG00000120738	YLR375W	ortholog_many2many	0.0	scerevisiae	EGR1
ENSG00000122877	YDL048C	ortholog_many2many	0.0	scerevisiae	EGR2
ENSG00000122877	YLR375W	ortholog_many2many	0.0	scerevisiae	EGR2
ENSG00000123095	YFR034C	ortholog_one2many	0.0	scerevisiae	BHLHE41
ENSG00000123636	YDL070W	ortholog_many2many	0.0	scerevisiae	BAZ2B
ENSG00000123636	YLR399C	ortholog_many2many	0.0	scerevisiae	BAZ2B
ENSG00000125482	YDR026C	ortholog_many2many	0.0	scerevisiae	TTF1
ENSG00000125482	YBR049C	ortholog_many2many	0.0	scerevisiae	TTF1
ENSG00000125817	YDR081C	ortholog_one2many	0.0	scerevisiae	CENPB
ENSG00000127445	YJR017C	ortholog_one2one	1.0	scerevisiae	PIN1
ENSG00000130700	YKR034W	ortholog_many2many	0.0	scerevisiae	GATA5
ENSG00000130700	YJL110C	ortholog_many2many	0.0	scerevisiae	GATA5
ENSG00000134107	YFR034C	ortholog_one2many	0.0	scerevisiae	BHLHE40
ENSG00000135164	YDR026C	ortholog_many2many	0.0	scerevisiae	DMTF1
ENSG00000135164	YBR049C	ortholog_many2many	0.0	scerevisiae	DMTF1
ENSG00000135547	YFR034C	ortholog_one2many	0.0	scerevisiae	HEY2
ENSG00000135625	YGL035C	ortholog_many2many	0.0	scerevisiae	EGR4
ENSG00000135625	YGL209W	ortholog_many2many	0.0	scerevisiae	EGR4
ENSG00000135625	YDL048C	ortholog_many2many	0.0	scerevisiae	EGR4
ENSG00000135625	YLR375W	ortholog_many2many	0.0	scerevisiae	EGR4
ENSG00000136574	YKR034W	ortholog_many2many	0.0	scerevisiae	GATA4
ENSG00000136574	YJL110C	ortholog_many2many	0.0	scerevisiae	GATA4
ENSG00000140993	YDR081C	ortholog_one2many	0.0	scerevisiae	TIGD7
ENSG00000141448	YKR034W	ortholog_many2many	0.0	scerevisiae	GATA6
ENSG00000141448	YJL110C	ortholog_many2many	0.0	scerevisiae	GATA6
ENSG00000143390	YLR176C	ortholog_one2many	0.0	scerevisiae	RFX5
ENSG00000144485	YFR034C	ortholog_one2many	0.0	scerevisiae	HES6
ENSG00000146592	YER045C	ortholog_many2many	0.0	scerevisiae	CREB5
ENSG00000146592	YIL036W	ortholog_many2many	0.0	scerevisiae	CREB5
ENSG00000146592	YNL167C	ortholog_many2many	0.0	scerevisiae	CREB5
ENSG00000151657	YOR077W	ortholog_one2one	0.0	scerevisiae	KIN
ENSG00000153814	YLR403W	ortholog_one2one	0.0	scerevisiae	JAZF1
ENSG00000163516	YDR049W	ortholog_one2one	0.0	scerevisiae	ANKZF1
ENSG00000163909	YFR034C	ortholog_one2many	0.0	scerevisiae	HEYL
ENSG00000164296	YDR081C	ortholog_one2many	0.0	scerevisiae	TIGD6
ENSG00000164683	YFR034C	ortholog_one2many	0.0	scerevisiae	HEY1
ENSG00000165684	YDR026C	ortholog_many2many	0.0	scerevisiae	SNAPC4
ENSG00000165684	YBR049C	ortholog_many2many	0.0	scerevisiae	SNAPC4
ENSG00000167962	YDR266C	ortholog_one2one	0.0	scerevisiae	ZNF598
ENSG00000169953	YGL073W	ortholog_many2many	0.0	scerevisiae	HSFY2
ENSG00000169953	YJR147W	ortholog_many2many	0.0	scerevisiae	HSFY2
ENSG00000169989	YDR081C	ortholog_one2many	0.0	scerevisiae	TIGD4
ENSG00000170653	YER045C	ortholog_many2many	0.0	scerevisiae	ATF7
ENSG00000170653	YIL036W	ortholog_many2many	0.0	scerevisiae	ATF7
ENSG00000170653	YNL167C	ortholog_many2many	0.0	scerevisiae	ATF7
ENSG00000171116	YGL073W	ortholog_many2many	0.0	scerevisiae	HSFX1
ENSG00000171116	YJR147W	ortholog_many2many	0.0	scerevisiae	HSFX1
ENSG00000172468	YGL073W	ortholog_many2many	0.0	scerevisiae	HSFY1
ENSG00000172468	YJR147W	ortholog_many2many	0.0	scerevisiae	HSFY1
ENSG00000173673	YFR034C	ortholog_one2many	0.0	scerevisiae	HES3
ENSG00000173825	YDR081C	ortholog_one2many	0.0	scerevisiae	TIGD3
ENSG00000176160	YGL073W	ortholog_many2many	0.0	scerevisiae	HSF5
ENSG00000176160	YJR147W	ortholog_many2many	0.0	scerevisiae	HSF5
ENSG00000179111	YFR034C	ortholog_one2many	0.0	scerevisiae	HES7
ENSG00000179348	YKR034W	ortholog_many2many	0.0	scerevisiae	GATA2
ENSG00000179348	YJL110C	ortholog_many2many	0.0	scerevisiae	GATA2
ENSG00000179388	YDL048C	ortholog_many2many	0.0	scerevisiae	EGR3
ENSG00000179388	YLR375W	ortholog_many2many	0.0	scerevisiae	EGR3
ENSG00000180346	YDR081C	ortholog_one2many	0.0	scerevisiae	TIGD2
ENSG00000181827	YLR176C	ortholog_one2many	0.0	scerevisiae	RFX7
ENSG00000182521	YER148W	ortholog_one2one	1.0	scerevisiae	TBPL2
ENSG00000183340	YDR081C	ortholog_one2many	0.0	scerevisiae	JRKL
ENSG00000184937	YDL048C	ortholog_many2many	0.0	scerevisiae	WT1
ENSG00000184937	YLR375W	ortholog_many2many	0.0	scerevisiae	WT1
ENSG00000185122	YGL073W	ortholog_many2many	0.0	scerevisiae	HSF1
ENSG00000185122	YJR147W	ortholog_many2many	0.0	scerevisiae	HSF1
