cluster_id	dup_class4	chrom	n_members	members	n_pair_enh_elem	ctcf_mean_pair_enh	ctcf_max_pair_enh	n_pair_prom_elem	ctcf_mean_pair_prom	n_shared_enh	ctcf_mean_shared_enh	n_win_elem	ctcf_mean_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	18	4.564583333333333	18.7934	2	6.02025	13	4.53546923076923	22	6.844009090909091
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	nan	nan	0	nan	0	nan	5	10.78482
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	nan	nan	0	nan	0	nan	4	13.279025
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	21	5.573766666666667	30.2168	2	1.7103000000000002	15	5.885959999999998	26	5.207907692307692
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	0	nan	nan	0	nan	0	nan	10	11.03665
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	16	2.69710625	13.7869	2	1.4164	15	2.7780266666666664	16	3.5746124999999997
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	22	4.281113636363636	29.0006	2	3.7281500000000003	15	4.267086666666668	45	4.6175355555555555
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	21	4.936823809523811	27.8001	2	3.2746500000000003	20	4.840055000000001	29	4.142003448275862
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	nan	nan	0	nan	0	nan	8	9.765600000000001
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	29	5.527224137931035	25.2066	4	1.0986	21	5.226842857142858	23	7.304265217391304
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	29	6.656320689655172	34.7819	2	0.66665	2	1.64665	48	5.6728354166666675
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	0	nan	nan	0	nan	0	nan	19	9.539442105263158
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	31	5.151593548387097	30.2199	3	4.008866666666666	14	7.568157142857143	36	2.4836750000000003
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	28	4.914760714285714	30.896	2	1.4961	19	4.062615789473685	35	4.995691428571429
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	28	9.631142857142859	41.5951	6	2.7881	25	10.421472	39	8.89966923076923
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	17	12.060511764705883	41.5951	1	1.2242	0	nan	22	9.118300000000003
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	20	5.11378	39.3806	1	0.9479	0	nan	12	7.596608333333332
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	21	4.107652380952381	28.974	1	1.7589	0	nan	23	2.035808695652174
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	40	1.22269	5.5464	4	1.7026250000000003	23	1.4213652173913047	51	2.8131431372549023
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	nan	nan	0	nan	0	nan	2	11.53955
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	14	5.4803428571428565	29.1159	2	3.0956	10	5.55016	18	2.7936055555555557
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	21	4.939204761904762	29.1159	2	7.4746999999999995	10	5.975690000000001	25	4.835776
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	0	nan	nan	0	nan	0	nan	0	nan
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	23	3.04814347826087	12.346	2	1.85025	14	2.479607142857143	12	3.3304833333333335
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	18	6.384633333333333	36.6838	2	1.1311	3	2.0195333333333334	27	6.510996296296295
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	16	5.21065	28.0162	2	2.91995	13	5.377600000000001	35	6.072065714285714
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	0	nan	nan	0	nan	0	nan	0	nan
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	19	3.6502368421052633	25.8975	2	1.2326000000000001	9	6.4039777777777775	20	4.111875
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	19	7.679868421052631	35.3251	2	21.244750000000003	6	1.5210666666666668	15	10.325393333333333
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	25	5.612156	23.3567	1	0.1349	0	nan	18	8.616138888888889
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	0	nan	nan	0	nan	0	nan	16	8.804281249999999
clust0034	clustered_cis_ohnolog	chr1	2	FOXE3,FOXD2	0	nan	nan	0	nan	0	nan	14	7.791621428571427
clust0030	clustered_cis_ohnolog	chr1	2	ETV3L,ETV3	8	17.6045125	43.5154	1	2.1558	0	nan	12	13.019116666666667
clust0039	clustered_cis_ohnolog	chr1	2	PBX1,LMX1A	0	nan	nan	0	nan	0	nan	5	12.32538
clust0040	clustered_cis_ohnolog	chr10	2	TLX1,LBX1	0	nan	nan	0	nan	0	nan	19	11.472926315789472
clust0041	clustered_cis_ohnolog	chr10	2	HMX3,HMX2	0	nan	nan	0	nan	0	nan	10	8.06768
clust0031	clustered_cis_ohnolog	chr11	2	ELF5,EHF	0	nan	nan	0	nan	0	nan	3	6.148833333333333
