cluster_id	dup_class4	chrom	n_members	members	n_links_total	n_distinct_elem_total	n_enhancer_elem_min	n_enhancer_elem_max	n_enhancer_elem_sum	n_shared_enhancer_any	n_shared_enhancer_in_window	shared_frac	mean_open_enh	per_member
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	32	19	13	17	30	13	13	0.6842105263157895	9.3633592760181	ZNF672:links=18,enh=17;ZNF692:links=14,enh=13
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	0	0	0	0	0	0	nan	nan	NANOGNB:links=0,enh=0;NANOG:links=0,enh=0
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	0	0	0	0	0	0	nan	nan	SOHLH2:links=0,enh=0;CCDC169-SOHLH2:links=0,enh=0
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	41	23	19	20	39	18	15	0.782608695652174	8.465022631578947	ZBTB25:links=20,enh=19;ZBTB1:links=21,enh=20
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	17	17	0	16	16	0	0	0.0	10.0132125	MESP1:links=17,enh=16;MESP2:links=0,enh=0
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	43	24	19	22	41	19	8	0.7916666666666666	10.692070215311006	ZSCAN32:links=20,enh=19;ZNF174:links=23,enh=22
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	41	27	18	21	39	14	13	0.5185185185185185	10.900869444444444	ZNF48:links=19,enh=18;ZNF771:links=22,enh=21
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	48	25	23	23	46	23	15	0.92	11.3578347826087	ZNF668:links=24,enh=23;ZNF646:links=24,enh=23
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	0	0	0	0	0	0	nan	nan	FOXC2:links=0,enh=0;FOXL1:links=0,enh=0
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	66	30	0	24	63	23	12	0.7666666666666667	10.190557573099417	ZNF397:links=20,enh=19;ZSCAN30:links=21,enh=20;ZNF24:links=25,enh=24;ZNF396:links=0,enh=0
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	37	36	14	21	35	1	1	0.027777777777777776	7.592138095238096	ZNF516:links=15,enh=14;ZNF236:links=22,enh=21
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	23	23	0	22	22	0	0	0.0	10.30335909090909	ZNF788:links=0,enh=0;ZNF625:links=23,enh=22
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	60	34	14	24	57	15	10	0.4411764705882353	9.14946134085213	AKAP8:links=25,enh=24;AKAP8L:links=15,enh=14;WIZ:links=20,enh=19
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	50	30	22	26	48	20	13	0.6666666666666666	11.470445104895102	ZNF576:links=27,enh=26;ZNF428:links=23,enh=22
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	120	36	16	23	114	23	21	0.6388888888888888	8.385900258418584	ZNF579:links=20,enh=19;FIZ1:links=24,enh=23;ZNF865:links=20,enh=19;ZNF784:links=21,enh=20;ZNF580:links=18,enh=17;ZNF581:links=17,enh=16
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	21	21	0	20	20	0	0	0.0	6.604424999999999	ZSCAN5B:links=0,enh=0;ZSCAN5C:links=0,enh=0;ZSCAN5A:links=21,enh=20
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	21	21	0	20	20	0	0	0.0	12.48262	ZSCAN1:links=0,enh=0;ZSCAN18:links=21,enh=20
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	40	23	18	20	38	17	9	0.7391304347826086	11.867342777777779	ZNF497:links=19,enh=18;ZNF837:links=21,enh=20
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	96	50	18	28	92	25	25	0.5	9.864949404761903	SP110:links=29,enh=28;SP140:links=19,enh=18;SP140L:links=19,enh=18;SP100:links=29,enh=28
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	0	0	0	0	0	0	nan	nan	OLIG2:links=0,enh=0;OLIG1:links=0,enh=0
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	25	15	11	12	23	10	9	0.6666666666666666	10.880314393939393	ZNF165:links=13,enh=12;ZSCAN16:links=12,enh=11
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	43	24	12	16	40	11	5	0.4583333333333333	11.638427777777778	ZSCAN31:links=13,enh=12;ZSCAN12:links=17,enh=16;ZSCAN23:links=13,enh=12
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	17	17	0	16	16	0	0	0.0	8.64405	TWIST1:links=17,enh=16;FERD3L:links=0,enh=0
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	33	22	15	16	31	11	1	0.5	18.72506375	ZNF107:links=16,enh=15;ZNF138:links=17,enh=16
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	23	21	6	15	21	2	2	0.09523809523809523	9.979159999999998	GTF2IRD1:links=7,enh=6;GTF2I:links=16,enh=15
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	38	24	17	19	36	14	13	0.5833333333333334	8.97751362229102	REPIN1:links=20,enh=19;ZNF775:links=18,enh=17
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	7	7	0	6	6	0	0	0.0	9.438383333333334	DMRT1:links=0,enh=0;DMRT3:links=0,enh=0;DMRT2:links=7,enh=6
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	36	22	14	20	34	14	13	0.6363636363636364	8.435107857142857	ZBTB6:links=15,enh=14;ZBTB26:links=21,enh=20
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	31	24	14	15	29	7	7	0.2916666666666667	12.282863571428571	ZBTB43:links=16,enh=15;ZBTB34:links=15,enh=14
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	17	17	0	16	16	0	0	0.0	9.96601875	RHOXF2B:links=0,enh=0;RHOXF1:links=17,enh=16;RHOXF2:links=0,enh=0
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	0	0	0	0	0	0	0	nan	nan	ZBTB8B:links=0,enh=0;ZBTB8A:links=0,enh=0
