cluster_id	dup_class4	family	chrom	n_members	members	clipped	left_flank_len_kb	left_ctcf_peaks	left_peaks_per_kb	left_obs_exp	right_flank_len_kb	right_ctcf_peaks	right_peaks_per_kb	right_obs_exp
clust0006	clustered_SSD_tandem	C2H2 ZF (other)	chr1	2	ZNF672,ZNF692	right	100.0	4	0.04	2.1433	97.28	10	0.1028	5.5082
clust0042	clustered_SSD_tandem	Homeodomain	chr12	2	NANOGNB,NANOG	none	100.0	0	0.0	0.0	100.0	2	0.02	1.0716
clust0072	clustered_SSD_tandem	bHLH	chr13	2	SOHLH2,CCDC169-SOHLH2	none	100.0	0	0.0	0.0	100.0	2	0.02	1.0716
clust0003	clustered_SSD_tandem	BTB-ZNF	chr14	2	ZBTB25,ZBTB1	none	100.0	4	0.04	2.1433	100.0	2	0.02	1.0716
clust0073	clustered_SSD_tandem	bHLH	chr15	2	MESP1,MESP2	none	100.0	3	0.03	1.6075	100.0	1	0.01	0.5358
clust0061	clustered_SSD_tandem	SCAN-ZNF	chr16	2	ZSCAN32,ZNF174	none	100.0	6	0.06	3.2149	100.0	7	0.07	3.7508
clust0010	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF48,ZNF771	none	100.0	7	0.07	3.7508	100.0	11	0.11	5.8941
clust0011	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF668,ZNF646	none	100.0	9	0.09	4.8224	100.0	13	0.13	6.9657
clust0035	clustered_SSD_tandem	Forkhead	chr16	2	FOXC2,FOXL1	none	100.0	2	0.02	1.0716	100.0	1	0.01	0.5358
clust0062	clustered_SSD_tandem	SCAN-ZNF	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	none	100.0	3	0.03	1.6075	100.0	2	0.02	1.0716
clust0014	clustered_SSD_tandem	C2H2 ZF (other)	chr18	2	ZNF516,ZNF236	none	100.0	0	0.0	0.0	100.0	10	0.1	5.3582
