cluster_id	dup_class4	chrom	n_members	members	elem_win	elem_body	elem_flank	elem_per_kb_window	elem_per_kb_body	elem_per_kb_flank	obs_exp_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	35	5	30	0.16039447876377103	0.23884589662749592	0.15206966818398404	5.334413779097355
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	14	0	14	0.05984696276663959	0.0	0.07	1.9903955876790353
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	5	1	4	0.015168752370117557	0.007714561234329798	0.02	0.5044837096546474
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	23	9	14	0.08081972282348973	0.10640310224155869	0.07	2.687909498976051
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	22	4	18	0.0961206576400631	0.13850895114096748	0.09	3.1967893441408686
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	15	2	13	0.06599701693483455	0.07330572151156398	0.065	2.194934633847404
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	44	15	29	0.173911668682461	0.28300818837025016	0.145	5.783969678481734
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	31	3	28	0.13879374801323466	0.12846315248576198	0.14	4.616014762857278
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	8	0	8	0.03692608781946836	0.0	0.04	1.2280910988366485
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	27	12	15	0.0802837883243584	0.08803656451979723	0.075	2.670085341942127
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	46	25	21	0.05642655531826417	0.040635936146315374	0.105	1.876639373853162
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	23	7	16	0.08703351925711214	0.10892229172501788	0.08	2.8945684910529557
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	29	12	17	0.0977843416922086	0.1242609064833128	0.085	3.252120295681291
