cluster_id	dup_class4	chrom	n_members	members	n_links_total	n_distinct_elem_total	n_enhancer_elem_min	n_enhancer_elem_max	n_enhancer_elem_sum	n_shared_enhancer_any	n_shared_enhancer_in_window	shared_frac	mean_open_enh	per_member
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	34	20	15	17	32	14	14	0.7	9.595496666666666	ZNF672:links=18,enh=17;ZNF692:links=16,enh=15
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	0	0	0	0	0	0	nan	nan	NANOGNB:links=0,enh=0;NANOG:links=0,enh=0
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	0	0	0	0	0	0	nan	nan	SOHLH2:links=0,enh=0;CCDC169-SOHLH2:links=0,enh=0
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	37	23	16	19	35	14	9	0.6086956521739131	9.756570394736842	ZBTB25:links=17,enh=16;ZBTB1:links=20,enh=19
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	19	19	0	18	18	0	0	0.0	9.656133333333333	MESP1:links=19,enh=18;MESP2:links=0,enh=0
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	45	24	21	22	43	21	11	0.875	12.03003474025974	ZSCAN32:links=22,enh=21;ZNF174:links=23,enh=22
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	44	28	20	22	42	16	15	0.5714285714285714	10.643401818181818	ZNF48:links=23,enh=22;ZNF771:links=21,enh=20
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	50	26	24	24	48	24	18	0.9230769230769231	8.513070833333332	ZNF668:links=25,enh=24;ZNF646:links=25,enh=24
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	0	0	0	0	0	0	nan	nan	FOXC2:links=0,enh=0;FOXL1:links=0,enh=0
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	92	44	19	25	88	22	13	0.5	11.878057686934728	ZNF397:links=22,enh=21;ZSCAN30:links=20,enh=19;ZNF24:links=26,enh=25;ZNF396:links=24,enh=23
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	42	39	17	23	40	3	3	0.07692307692307693	8.324650639386189	ZNF516:links=18,enh=17;ZNF236:links=24,enh=23
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	20	20	0	19	19	0	0	0.0	10.369757894736841	ZNF788:links=0,enh=0;ZNF625:links=20,enh=19
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	73	43	19	31	70	19	13	0.4418604651162791	8.636281726089416	AKAP8:links=32,enh=31;AKAP8L:links=21,enh=20;WIZ:links=20,enh=19
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	56	34	26	28	54	22	13	0.6470588235294118	11.021935714285714	ZNF576:links=27,enh=26;ZNF428:links=29,enh=28
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	126	49	18	24	120	26	20	0.5306122448979592	8.704478287037038	ZNF579:links=19,enh=18;FIZ1:links=21,enh=20;ZNF865:links=21,enh=20;ZNF784:links=25,enh=24;ZNF580:links=19,enh=18;ZNF581:links=21,enh=20
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	24	24	0	23	23	0	0	0.0	7.256086956521737	ZSCAN5B:links=0,enh=0;ZSCAN5C:links=0,enh=0;ZSCAN5A:links=24,enh=23
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	17	17	0	16	16	0	0	0.0	12.48051875	ZSCAN1:links=0,enh=0;ZSCAN18:links=17,enh=16
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	38	24	18	18	36	14	9	0.5833333333333334	11.353858333333333	ZNF497:links=19,enh=18;ZNF837:links=19,enh=18
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	99	50	20	28	95	29	29	0.58	11.052720595238096	SP110:links=29,enh=28;SP140:links=22,enh=21;SP140L:links=21,enh=20;SP100:links=27,enh=26
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	0	0	0	0	0	0	nan	nan	OLIG2:links=0,enh=0;OLIG1:links=0,enh=0
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	30	21	10	18	28	9	8	0.42857142857142855	11.042500555555556	ZNF165:links=11,enh=10;ZSCAN16:links=19,enh=18
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	44	28	10	19	41	12	6	0.42857142857142855	11.406533421052634	ZSCAN31:links=13,enh=12;ZSCAN12:links=20,enh=19;ZSCAN23:links=11,enh=10
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	0	0	0	0	0	0	0	nan	nan	TWIST1:links=0,enh=0;FERD3L:links=0,enh=0
