cluster_id	dup_class4	family	parent_DBD_family	chrom	n_members	members	member_strands	member_tss	cluster_start	cluster_end	span_bp	win_start	win_end	win_len_bp	clipped
clust0006	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr1	2	ZNF672,ZNF692	+,-	248838210,248859144	248838210	248859144	20934	248738210	248956422	218212	right
clust0042	clustered_SSD_tandem	Homeodomain	Homeodomain	chr12	2	NANOGNB,NANOG	+,+	7765216,7787794	7765216	7799146	33930	7665216	7899146	233930	none
clust0072	clustered_SSD_tandem	bHLH	bHLH	chr13	2	SOHLH2,CCDC169-SOHLH2	-,-	36214588,36297842	36168217	36297842	129625	36068217	36397842	329625	none
clust0003	clustered_SSD_tandem	BTB-ZNF	C2H2 ZF	chr14	2	ZBTB25,ZBTB1	-,+	64505213,64503712	64449106	64533690	84584	64349106	64633690	284584	none
clust0073	clustered_SSD_tandem	bHLH	bHLH	chr15	2	MESP1,MESP2	-,+	89751249,89760591	89749875	89778754	28879	89649875	89878754	228879	none
clust0061	clustered_SSD_tandem	SCAN-ZNF	C2H2 ZF	chr16	2	ZSCAN32,ZNF174	-,+	3401065,3401215	3382081	3409364	27283	3282081	3509364	227283	none
clust0010	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr16	2	ZNF48,ZNF771	+,+	30378106,30407414	30378106	30431108	53002	30278106	30531108	253002	none
clust0011	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr16	2	ZNF668,ZNF646	-,+	31074240,31074422	31060843	31084196	23353	30960843	31184196	223353	none
clust0035	clustered_SSD_tandem	Forkhead	Forkhead	chr16	2	FOXC2,FOXL1	+,+	86566829,86576368	86566829	86583478	16649	86466829	86683478	216649	none
clust0062	clustered_SSD_tandem	SCAN-ZNF	C2H2 ZF	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	+,-,-,-	35241030,35290245,35345482,35377337	35241030	35377337	136307	35141030	35477337	336307	none
clust0014	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr18	2	ZNF516,ZNF236	-,+	76495242,76822557	76357682	76972901	615219	76257682	77072901	815219	none
clust0015	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr19	2	ZNF788,ZNF625	+,-	12092468,12156734	12092468	12156734	64266	11992468	12256734	264266	none
clust0016	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr19	3	AKAP8,AKAP8L,WIZ	-,-,-	15379815,15419141,15449956	15353385	15449956	96571	15253385	15549956	296571	none
clust0018	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr19	2	ZNF576,ZNF428	+,-	43596392,43619629	43596392	43619629	23237	43496392	43719629	223237	none
clust0019	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	-,-,+,-,+,+	55580848,55601970,55605647,55624566,55635016,55635459	55576774	55645623	68849	55476774	55745623	268849	none
clust0063	clustered_SSD_tandem	SCAN-ZNF	C2H2 ZF	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	-,+,-	56197815,56202273,56368383	56189686	56368383	178697	56089686	56468383	378697	none
clust0064	clustered_SSD_tandem	SCAN-ZNF	C2H2 ZF	chr19	2	ZSCAN1,ZSCAN18	+,-	58034025,58118427	58034025	58118427	84402	57934025	58218427	284402	none
clust0020	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr19	2	ZNF497,ZNF837	-,-	58362848,58381030	58354357	58381030	26673	58254357	58481030	226673	none
clust0060	clustered_SSD_tandem	SAND	SAND	chr2	4	SP110,SP140,SP140L,SP100	-,+,+,+	230225729,230203110,230327184,230415942	230165186	230545606	380420	230065186	230645606	580420	none
clust0074	clustered_SSD_tandem	bHLH	bHLH	chr21	2	OLIG2,OLIG1	+,+	33025935,33070141	33025935	33072413	46478	32925935	33172413	246478	none
clust0065	clustered_SSD_tandem	SCAN-ZNF	C2H2 ZF	chr6	2	ZNF165,ZSCAN16	+,+	28080568,28107689	28080568	28130082	49514	27980568	28230082	249514	none
clust0066	clustered_SSD_tandem	SCAN-ZNF	C2H2 ZF	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	-,-,-	28356271,28399747,28443502	28324693	28443502	118809	28224693	28543502	318809	none
clust0075	clustered_SSD_tandem	bHLH	bHLH	chr7	2	TWIST1,FERD3L	-,-	19117636,19145421	19020991	19145421	124430	18920991	19245421	324430	none
clust0026	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr7	2	ZNF107,ZNF138	+,+	64666099,64794388	64666099	64833681	167582	64566099	64933681	367582	none
