cluster_id	dup_class4	family	chrom	geneA	geneB	strandA	strandB	tssA	tssB	orientation	promoter_distance_bp	n_ctcf_between_promoters	ctcf_between_per_kb
clust0061	clustered_SSD_tandem	SCAN-ZNF	chr16	ZSCAN32	ZNF174	-	+	3401065	3401215	head-to-head	150	0	0.0
clust0011	clustered_SSD_tandem	C2H2 ZF (other)	chr16	ZNF668	ZNF646	-	+	31074240	31074422	head-to-head	182	0	0.0
clust0027	clustered_SSD_tandem	C2H2 ZF (other)	chr7	REPIN1	ZNF775	+	+	150368189	150368790	tandem	601	0	0.0
clust0003	clustered_SSD_tandem	BTB-ZNF	chr14	ZBTB25	ZBTB1	-	+	64505213	64503712	tail-to-tail	1501	0	0.0
clust0073	clustered_SSD_tandem	bHLH	chr15	MESP1	MESP2	-	+	89751249	89760591	head-to-head	9342	0	0.0
clust0035	clustered_SSD_tandem	Forkhead	chr16	FOXC2	FOXL1	+	+	86566829	86576368	tandem	9539	1	0.10483
clust0020	clustered_SSD_tandem	C2H2 ZF (other)	chr19	ZNF497	ZNF837	-	-	58362848	58381030	tandem	18182	1	0.055
clust0004	clustered_SSD_tandem	BTB-ZNF	chr9	ZBTB6	ZBTB26	-	-	122913323	122931512	tandem	18189	0	0.0
clust0006	clustered_SSD_tandem	C2H2 ZF (other)	chr1	ZNF672	ZNF692	+	-	248838210	248859144	tail-to-tail	20934	3	0.14331
clust0042	clustered_SSD_tandem	Homeodomain	chr12	NANOGNB	NANOG	+	+	7765216	7787794	tandem	22578	0	0.0
clust0018	clustered_SSD_tandem	C2H2 ZF (other)	chr19	ZNF576	ZNF428	+	-	43596392	43619629	tail-to-tail	23237	1	0.04303
clust0065	clustered_SSD_tandem	SCAN-ZNF	chr6	ZNF165	ZSCAN16	+	+	28080568	28107689	tandem	27121	1	0.03687
clust0075	clustered_SSD_tandem	bHLH	chr7	TWIST1	FERD3L	-	-	19117636	19145421	tandem	27785	1	0.03599
clust0010	clustered_SSD_tandem	C2H2 ZF (other)	chr16	ZNF48	ZNF771	+	+	30378106	30407414	tandem	29308	2	0.06824
clust0074	clustered_SSD_tandem	bHLH	chr21	OLIG2	OLIG1	+	+	33025935	33070141	tandem	44206	0	0.0
clust0005	clustered_SSD_tandem	BTB-ZNF	chr9	ZBTB43	ZBTB34	+	+	126805006	126860639	tandem	55633	2	0.03595
clust0015	clustered_SSD_tandem	C2H2 ZF (other)	chr19	ZNF788	ZNF625	+	-	12092468	12156734	tail-to-tail	64266	3	0.04668
clust0072	clustered_SSD_tandem	bHLH	chr13	SOHLH2	CCDC169-SOHLH2	-	-	36214588	36297842	tandem	83254	2	0.02402
clust0064	clustered_SSD_tandem	SCAN-ZNF	chr19	ZSCAN1	ZSCAN18	+	-	58034025	58118427	tail-to-tail	84402	0	0.0
clust0026	clustered_SSD_tandem	C2H2 ZF (other)	chr7	ZNF107	ZNF138	+	+	64666099	64794388	tandem	128289	0	0.0
clust0037	clustered_SSD_tandem	GTF2I-like	chr7	GTF2IRD1	GTF2I	+	+	74453790	74650231	tandem	196441	2	0.01018
clust0014	clustered_SSD_tandem	C2H2 ZF (other)	chr18	ZNF516	ZNF236	-	+	76495242	76822557	head-to-head	327315	7	0.02139
clust0056	clustered_cis_ohnolog	MADS box	chr19	MEF2B	BORCS8-MEF2B	-	-	19192131	19192158	tandem	27	0	0.0
clust0076	clustered_cis_ohnolog	bZIP	chr12	AC023509.3	ATF7	-	-	53625979	53626410	tandem	431	0	0.0
clust0048	clustered_cis_ohnolog	Homeodomain	chr19	TPRX1	CRX	-	+	47819051	47819779	head-to-head	728	0	0.0
clust0071	clustered_cis_ohnolog	bHLH	chr12	MYF6	MYF5	+	+	80707634	80716912	tandem	9278	1	0.10778
clust0009	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	ZIC5	ZIC2	-	+	99971767	99981784	head-to-head	10017	0	0.0
clust0022	clustered_cis_ohnolog	C2H2 ZF (other)	chr22	ZNF280B	ZNF280A	-	-	22508742	22520270	tandem	11528	1	0.08675
clust0041	clustered_cis_ohnolog	Homeodomain	chr10	HMX3	HMX2	+	+	123135970	123148136	tandem	12166	2	0.16439
clust0024	clustered_cis_ohnolog	C2H2 ZF (other)	chr3	ZIC4	ZIC1	-	+	147406809	147393422	tail-to-tail	13387	0	0.0
clust0050	clustered_cis_ohnolog	Homeodomain	chr2	DLX1	DLX2	+	-	172084740	172102900	tail-to-tail	18160	1	0.05507
clust0053	clustered_cis_ohnolog	Homeodomain	chr7	DLX6	DLX5	+	-	97005553	97024950	tail-to-tail	19397	0	0.0
clust0034	clustered_cis_ohnolog	Forkhead	chr1	FOXE3	FOXD2	+	+	47416285	47438044	tandem	21759	4	0.18383
clust0054	clustered_cis_ohnolog	Homeodomain	chr8	NKX3-1	NKX2-6	-	-	23682938	23706756	tandem	23818	1	0.04199
clust0030	clustered_cis_ohnolog	Ets	chr1	ETV3L	ETV3	-	-	157112412	157138474	tandem	26062	1	0.03837
clust0047	clustered_cis_ohnolog	Homeodomain	chr17	DLX4	DLX3	+	-	49968588	49995224	tail-to-tail	26636	0	0.0
clust0007	clustered_cis_ohnolog	C2H2 ZF (other)	chr12	SP7	SP1	-	+	53345315	53380176	head-to-head	34861	2	0.05737
clust0013	clustered_cis_ohnolog	C2H2 ZF (other)	chr17	SP6	SP2	-	+	47855874	47896150	head-to-head	40276	1	0.02483
clust0057	clustered_cis_ohnolog	Nuclear receptor	chr17	THRA	NR1D1	+	-	40058290	40100589	tail-to-tail	42299	4	0.09456
clust0070	clustered_cis_ohnolog	T-box	chr17	TBX2	TBX4	+	+	61399843	61452404	tandem	52561	4	0.0761
clust0044	clustered_cis_ohnolog	Homeodomain	chr14	NKX2-1	NKX2-8	-	-	36521149	36582614	tandem	61465	3	0.04881
clust0049	clustered_cis_ohnolog	Homeodomain	chr2	SIX3	SIX2	+	-	44941702	45009452	tail-to-tail	67750	4	0.05904
clust0012	clustered_cis_ohnolog	C2H2 ZF (other)	chr16	ZNF469	ZFPM1	+	+	88382959	88453280	tandem	70321	3	0.04266
