gene	genomic_class	arrangement	provenance	dup_class4	TF_subfamily	in_lambert	hgnc_locus_type	is_ohnolog	is_ohnolog_relaxed	ohnolog_rescue_via_cluster	cluster_id	n_ohnolog_partners	ohnolog_dup_time	youngest_paralog_node	age_category	is_marker	n_marker_celltypes
AKAP8	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0			no_paralog_node	False	0
AKAP8L	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0			no_paralog_node	False	0
FIZ1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	False	0
REPIN1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0027	0			no_paralog_node	False	0
WIZ	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0016	0		Bilateria	pre2R_ancient	False	0
ZBTB1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0003	0		Opisthokonta	pre2R_ancient	False	0
ZBTB25	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0003	0		Bilateria	pre2R_ancient	False	0
ZBTB26	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0004	0		Bilateria	pre2R_ancient	False	0
ZBTB34	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0005	0		Bilateria	pre2R_ancient	False	0
ZBTB43	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0005	0		Bilateria	pre2R_ancient	False	0
ZBTB6	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0004	0		Bilateria	pre2R_ancient	False	0
ZNF107	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0026	0		Bilateria	pre2R_ancient	False	0
ZNF138	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0026	0		Simiiformes	post2R_young	False	0
ZNF165	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0065	0		Vertebrata	2R_vertebrata	False	0
ZNF174	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0061	0		Bilateria	pre2R_ancient	False	0
ZNF236	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0014	0			no_paralog_node	False	0
ZNF24	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	False	0
ZNF396	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	False	0
ZNF397	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	False	0
ZNF428	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0018	0			no_paralog_node	False	0
ZNF48	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0010	0		Bilateria	pre2R_ancient	False	0
ZNF497	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0020	0		Bilateria	pre2R_ancient	False	0
ZNF516	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0014	0		Bilateria	pre2R_ancient	True	1
ZNF576	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0018	0		Bilateria	pre2R_ancient	False	0
ZNF579	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	False	0
ZNF580	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	False	0
ZNF581	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	False	0
ZNF625	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0015	0		Bilateria	pre2R_ancient	False	0
ZNF646	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0011	0		Bilateria	pre2R_ancient	False	0
ZNF668	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0011	0		Bilateria	pre2R_ancient	False	0
ZNF672	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0006	0		Bilateria	pre2R_ancient	False	0
ZNF692	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0006	0		Opisthokonta	pre2R_ancient	False	0
ZNF771	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0010	0		Bilateria	pre2R_ancient	False	0
