cluster_id	dup_class4	chrom	n_members	members	n_pair_enh_elem	ctcf_mean_pair_enh	ctcf_max_pair_enh	n_pair_prom_elem	ctcf_mean_pair_prom	n_shared_enh	ctcf_mean_shared_enh	n_win_elem	ctcf_mean_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	14	6.355857142857144	20.224	2	6.1062	14	6.355857142857144	22	6.852100000000001
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	0	nan	nan	0	nan	0	nan	3	13.847533333333333
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	0	nan	nan	0	nan	0	nan	8	9.7751
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	24	5.750629166666666	36.2005	2	2.9829499999999998	11	9.07730909090909	25	6.121652
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	0	nan	nan	0	nan	0	nan	9	10.738333333333335
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	18	4.146661111111111	14.4172	2	1.55275	16	4.1706812499999995	18	3.4143333333333334
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	32	5.7942406250000005	38.8931	2	4.506150000000001	18	2.7907277777777773	40	4.553520000000001
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	16	9.63065625	38.4072	2	2.317	16	9.63065625	33	7.028572727272728
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	0	nan	nan	0	nan	0	nan	9	14.676411111111113
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	28	6.339710714285714	30.9087	4	1.940325	21	5.6049952380952375	24	7.234699999999999
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	38	5.203607894736841	36.3601	2	0.6689	2	1.28765	45	5.275644444444445
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	23	14.01173043478261	39.2112	1	0.6187	0	nan	28	9.090053571428571
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	28	7.011582142857143	34.2723	3	7.871300000000001	15	7.365633333333333	35	2.9226685714285714
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	26	7.761757692307693	34.0644	2	1.00365	18	7.502600000000001	33	6.667203030303031
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	26	13.206965384615383	41.7576	6	2.3757833333333336	20	14.687954999999997	31	10.442416129032257
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	21	15.969576190476191	41.7576	1	1.4865	0	nan	25	9.278712
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	12	8.790624999999999	29.7463	1	1.1691	0	nan	14	8.408078571428572
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	17	9.519711764705884	33.9467	1	3.4649	0	nan	19	1.9135526315789475
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	31	2.0705129032258065	31.2406	4	2.1721250000000003	14	1.0408285714285714	52	3.4615673076923077
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	nan	nan	0	nan	0	nan	3	2.0909666666666666
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	15	5.596593333333333	24.8969	2	2.58665	9	7.171755555555555	13	2.745338461538461
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	17	6.588558823529413	30.0331	3	6.560966666666666	9	6.179222222222221	17	4.922511764705881
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	18	8.613866666666667	29.2415	1	1.023	0	nan	3	10.477866666666666
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	25	2.4228400000000003	9.2363	2	1.2332	9	2.536133333333334	13	3.3690076923076924
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	13	2.4555999999999996	5.4521	1	5.2887	0	nan	20	8.57042
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	19	5.519052631578947	25.6159	2	1.3523	14	5.984457142857143	31	7.955848387096774
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	0	nan	nan	0	nan	0	nan	7	3.3050285714285716
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	16	6.648225	28.8122	2	2.30195	8	4.8961	16	5.05774375
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	17	9.980623529411766	42.3649	2	22.431250000000002	4	1.411625	18	9.571927777777779
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	0	nan	nan	0	nan	0	nan	13	6.471261538461539
