cluster_id	dup_class4	chrom	n_members	members	elem_win	elem_body	elem_flank	elem_per_kb_window	elem_per_kb_body	elem_per_kb_flank	obs_exp_window
clust0006	clustered_SSD_tandem	chr1	2	ZNF672,ZNF692	22	5	17	0.10081938665151322	0.23884589662749592	0.08617281197092429	3.2618651587411023
clust0042	clustered_SSD_tandem	chr12	2	NANOGNB,NANOG	6	0	6	0.025648698328559826	0.0	0.03	0.8298264671473751
clust0072	clustered_SSD_tandem	chr13	2	SOHLH2,CCDC169-SOHLH2	4	1	3	0.012135001896094046	0.007714561234329798	0.015	0.3926104016377913
clust0003	clustered_SSD_tandem	chr14	2	ZBTB25,ZBTB1	30	18	12	0.1054170297697692	0.21280620448311738	0.06	3.410615239433444
clust0073	clustered_SSD_tandem	chr15	2	MESP1,MESP2	12	3	9	0.0524294496218526	0.1038817133557256	0.045	1.6962788675220135
clust0061	clustered_SSD_tandem	chr16	2	ZSCAN32,ZNF174	18	2	16	0.07919642032180146	0.07330572151156398	0.08	2.56228541676833
clust0010	clustered_SSD_tandem	chr16	2	ZNF48,ZNF771	47	15	32	0.18576928245626517	0.28300818837025016	0.16	6.010295937456302
clust0011	clustered_SSD_tandem	chr16	2	ZNF668,ZNF646	31	3	28	0.13879374801323466	0.12846315248576198	0.14	4.490470592330936
clust0035	clustered_SSD_tandem	chr16	2	FOXC2,FOXL1	8	0	8	0.03692608781946836	0.0	0.04	1.19469006217298
clust0062	clustered_SSD_tandem	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	18	10	8	0.053522525549572264	0.07336380376649769	0.04	1.7316437551979482
clust0014	clustered_SSD_tandem	chr18	2	ZNF516,ZNF236	54	38	16	0.06623986928665794	0.06176662294239937	0.08	2.1430949832352644
clust0015	clustered_SSD_tandem	chr19	2	ZNF788,ZNF625	20	8	12	0.07568132109314099	0.12448261911430615	0.06	2.448559474920288
clust0016	clustered_SSD_tandem	chr19	3	AKAP8,AKAP8L,WIZ	38	9	29	0.12813120635530784	0.0931956798624846	0.145	4.145499507971586
clust0018	clustered_SSD_tandem	chr19	2	ZNF576,ZNF428	35	2	33	0.1567840456555141	0.08606963033093773	0.165	5.072520602985834
clust0019	clustered_SSD_tandem	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	40	22	18	0.14878240201748938	0.31953986259785905	0.09	4.813639018179609
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	25	11	14	0.06601583851997771	0.06155671331919394	0.07	2.135846792420077
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	13	1	12	0.045709945780972004	0.011848060472500652	0.06	1.478879057916383
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	25	5	20	0.11029103598575922	0.18745547932366063	0.1	3.568306647677959
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	54	44	10	0.0930360773233176	0.11566163713790022	0.05	3.0100474641433257
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	2	0	2	0.008114314462142665	0.0	0.01	0.2625268860503918
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	15	7	8	0.060116867189817	0.1413741568041362	0.04	1.9449941231733032
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	22	11	11	0.06900683481332082	0.09258557853361278	0.055	2.232616143268268
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	3	3	0	0.009246987023394876	0.02410994133247609	0.0	0.29917286542518484
