cluster_id	dup_class4	family	chrom	n_members	members	span_bp	win_len_bp	clipped	n_peaks_window	n_peaks_body	n_peaks_flank	peaks_per_kb_window	peaks_per_kb_body	peaks_per_kb_flank	obs_exp_window	nearest_peak_to_tss_min	nearest_peak_to_tss_mean	n_peaks_between_members	inter_member_tss_dist_bp	peaks_between_per_kb
clust0006	clustered_SSD_tandem	C2H2 ZF (other)	chr1	2	ZNF672,ZNF692	20934	218212	right	9	3	6	0.04124	0.14331	0.03041	2.8273	418	2056.0	3	20934	0.14331
clust0042	clustered_SSD_tandem	Homeodomain	chr12	2	NANOGNB,NANOG	33930	233930	none	4	0	4	0.0171	0.0	0.02	1.1721	19260	30549.0	0	22578	0.0
clust0072	clustered_SSD_tandem	bHLH	chr13	2	SOHLH2,CCDC169-SOHLH2	129625	329625	none	4	2	2	0.01214	0.01543	0.01	0.8318	14806	37798.0	2	83254	0.02402
clust0003	clustered_SSD_tandem	BTB-ZNF	chr14	2	ZBTB25,ZBTB1	84584	284584	none	8	5	3	0.02811	0.05911	0.015	1.927	1170	1920.5	0	1501	0.0
clust0073	clustered_SSD_tandem	bHLH	chr15	2	MESP1,MESP2	28879	228879	none	6	3	3	0.02621	0.10388	0.015	1.797	339	359.5	0	9342	0.0
clust0061	clustered_SSD_tandem	SCAN-ZNF	chr16	2	ZSCAN32,ZNF174	27283	227283	none	5	0	5	0.022	0.0	0.025	1.508	56854	56929.0	0	150	0.0
clust0010	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF48,ZNF771	53002	253002	none	9	5	4	0.03557	0.09434	0.02	2.4385	2233	9729.5	2	29308	0.06824
clust0011	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF668,ZNF646	23353	223353	none	9	1	8	0.04029	0.04282	0.04	2.7622	515	606.0	0	182	0.0
clust0035	clustered_SSD_tandem	Forkhead	chr16	2	FOXC2,FOXL1	16649	216649	none	4	1	3	0.01846	0.06006	0.015	1.2656	506	1677.5	1	9539	0.10483
clust0062	clustered_SSD_tandem	SCAN-ZNF	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	136307	336307	none	7	1	6	0.02081	0.00734	0.03	1.4268	9363	22024.8	1	136307	0.00734
clust0014	clustered_SSD_tandem	C2H2 ZF (other)	chr18	2	ZNF516,ZNF236	615219	815219	none	25	15	10	0.03067	0.02438	0.05	2.1022	1335	34839.0	7	327315	0.02139
clust0015	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF788,ZNF625	64266	264266	none	9	3	6	0.03406	0.04668	0.03	2.3346	1446	8426.0	3	64266	0.04668
