cluster_id	dup_class4	family	chrom	n_members	members	span_bp	win_len_bp	clipped	n_peaks_window	n_peaks_body	n_peaks_flank	peaks_per_kb_window	peaks_per_kb_body	peaks_per_kb_flank	obs_exp_window	nearest_peak_to_tss_min	nearest_peak_to_tss_mean	n_peaks_between_members	inter_member_tss_dist_bp	peaks_between_per_kb
clust0006	clustered_SSD_tandem	C2H2 ZF (other)	chr1	2	ZNF672,ZNF692	20934	218212	right	20	6	14	0.09165	0.28662	0.07097	4.911	0	0.0	6	20934	0.28662
clust0042	clustered_SSD_tandem	Homeodomain	chr12	2	NANOGNB,NANOG	33930	233930	none	2	0	2	0.00855	0.0	0.01	0.4581	55926	67215.0	0	22578	0.0
clust0072	clustered_SSD_tandem	bHLH	chr13	2	SOHLH2,CCDC169-SOHLH2	129625	329625	none	2	0	2	0.00607	0.0	0.01	0.3251	48643	90270.0	0	83254	0.0
clust0003	clustered_SSD_tandem	BTB-ZNF	chr14	2	ZBTB25,ZBTB1	84584	284584	none	13	7	6	0.04568	0.08276	0.03	2.4477	0	0.0	3	1501	1.99867
clust0073	clustered_SSD_tandem	bHLH	chr15	2	MESP1,MESP2	28879	228879	none	7	3	4	0.03058	0.10388	0.02	1.6388	0	157.0	0	9342	0.0
clust0061	clustered_SSD_tandem	SCAN-ZNF	chr16	2	ZSCAN32,ZNF174	27283	227283	none	16	3	13	0.0704	0.10996	0.065	3.772	0	0.0	1	150	6.66667
clust0010	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF48,ZNF771	53002	253002	none	32	14	18	0.12648	0.26414	0.09	6.7772	0	0.0	8	29308	0.27296
clust0011	clustered_SSD_tandem	C2H2 ZF (other)	chr16	2	ZNF668,ZNF646	23353	223353	none	27	5	22	0.12088	0.21411	0.11	6.4773	0	0.0	1	182	5.49451
clust0035	clustered_SSD_tandem	Forkhead	chr16	2	FOXC2,FOXL1	16649	216649	none	3	0	3	0.01385	0.0	0.015	0.742	2853	7622.5	0	9539	0.0
clust0062	clustered_SSD_tandem	SCAN-ZNF	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	136307	336307	none	17	12	5	0.05055	0.08804	0.025	2.7085	0	251.0	12	136307	0.08804
clust0014	clustered_SSD_tandem	C2H2 ZF (other)	chr18	2	ZNF516,ZNF236	615219	815219	none	24	14	10	0.02944	0.02276	0.05	1.5775	0	1121.5	7	327315	0.02139
clust0015	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF788,ZNF625	64266	264266	none	18	5	13	0.06811	0.0778	0.065	3.6497	6001	16544.5	5	64266	0.0778
clust0016	clustered_SSD_tandem	C2H2 ZF (other)	chr19	3	AKAP8,AKAP8L,WIZ	96571	296571	none	17	8	9	0.05732	0.08284	0.045	3.0714	0	0.0	6	70141	0.08554
clust0018	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF576,ZNF428	23237	223237	none	29	1	28	0.12991	0.04303	0.14	6.9607	0	0.0	1	23237	0.04303
clust0019	clustered_SSD_tandem	C2H2 ZF (other)	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	68849	268849	none	35	22	13	0.13018	0.31954	0.065	6.9756	0	1417.7	17	54611	0.31129
clust0063	clustered_SSD_tandem	SCAN-ZNF	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	178697	378697	none	15	5	10	0.03961	0.02798	0.05	2.1224	0	39299.3	5	170568	0.02931
clust0064	clustered_SSD_tandem	SCAN-ZNF	chr19	2	ZSCAN1,ZSCAN18	84402	284402	none	17	4	13	0.05977	0.04739	0.065	3.2029	11909	16010.0	4	84402	0.04739
clust0020	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF497,ZNF837	26673	226673	none	27	3	24	0.11911	0.11247	0.12	6.3824	0	0.0	2	18182	0.11
clust0060	clustered_SSD_tandem	SAND	chr2	4	SP110,SP140,SP140L,SP100	380420	580420	none	28	20	8	0.04824	0.05257	0.04	2.5849	0	3938.0	13	212832	0.06108
clust0074	clustered_SSD_tandem	bHLH	chr21	2	OLIG2,OLIG1	46478	246478	none	3	2	1	0.01217	0.04303	0.005	0.6522	3085	18306.0	2	44206	0.04524
clust0065	clustered_SSD_tandem	SCAN-ZNF	chr6	2	ZNF165,ZSCAN16	49514	249514	none	12	7	5	0.04809	0.14137	0.025	2.577	334	1610.0	3	27121	0.11062
clust0066	clustered_SSD_tandem	SCAN-ZNF	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	118809	318809	none	12	7	5	0.03764	0.05892	0.025	2.0168	0	0.0	3	87231	0.03439
clust0075	clustered_SSD_tandem	bHLH	chr7	2	TWIST1,FERD3L	124430	324430	none	0	0	0	0.0	0.0	0.0	0.0	451331	465223.5	0	27785	0.0
clust0026	clustered_SSD_tandem	C2H2 ZF (other)	chr7	2	ZNF107,ZNF138	167582	367582	none	11	3	8	0.02993	0.0179	0.04	1.6035	0	0.0	2	128289	0.01559
clust0037	clustered_SSD_tandem	GTF2I-like	chr7	2	GTF2IRD1,GTF2I	306902	506902	none	17	7	10	0.03354	0.02281	0.05	1.797	0	640.5	4	196441	0.02036
clust0027	clustered_SSD_tandem	C2H2 ZF (other)	chr7	2	REPIN1,ZNF775	30441	230441	none	25	4	21	0.10849	0.1314	0.105	5.813	0	61.0	0	601	0.0
